page|158
项目|附注|本年发生额|上年发生额
一、营业收入|(五)45|81,420,053,539.27|63,503,450,891.78
减：营业成本|(五)45|45,329,400,332.65|33,957,697,857.73
税金及附加|(五)46|560,980,007.52|416,263,349.55
销售费用|(五)47|8,586,443,668.02|7,377,790,744.58
管理费用|(五)48|2,132,250,463.96|1,790,013,088.76
研发费用|(五)49|8,251,645,101.39|6,378,651,762.42
财务费用|(五)50|(133,343,257.84)|396,254,772.56
其中：利息费用||229,950,217.93|202,415,502.10
利息收入||885,545,988.62|719,662,082.74
加：其他收益|(五)51|2,628,560,820.46|2,303,581,705.81
投资收益|(五)52|174,205,547.82|169,277,048.95
其中：对联营企业和合营企业的投资收益||114,137,281.18|6,361,388.74
公允价值变动(损失)收益|(五)53|(38,200,024.47)|85,458,209.54
信用减值损失|(五)54|(569,758,165.50)|(185,940,325.74)
资产减值损失|(五)55|(447,689,406.60)|(363,109,513.99)
资产处置收益||34,225,603.81|628,505.02
二、营业利润||18,474,021,599.09|15,196,674,945.77
加：营业外收入|(五)56|75,744,369.29|99,273,303.50
减：营业外支出|(五)57|81,554,105.75|22,976,971.41
三、利润总额||18,468,211,862.63|15,272,971,277.86
减：所得税费用|(五)58|957,490,652.16|1,594,651,805.69
四、净利润||17,510,721,210.47|13,678,319,472.17
(一)按持续经营性分类|||
1.  持续经营净利润||17,510,721,210.47|13,678,319,472.17
2.  终止经营净亏损||-|-
(二)按所有权归属分类|||
1.  少数股东损益||710,310,178.42|292,792,758.02
2.  归属于母公司所有者的净利润||16,800,411,032.05|13,385,526,714.15
五、其他综合收益的税后净额|(五)42|4,631,122.68|(34,145,243.17)
归属母公司所有者的其他综合收益的税后净额||7,809,801.65|(31,452,779.95)
(一)以后不能重分类进损益的其他综合收益||-|-
(二)以后将重分类进损益的其他综合收益||7,809,801.65|(31,452,779.95)
1.  外币财务报表折算差额||7,809,801.65|(31,452,779.95)
归属于少数股东的其他综合收益的税后净额||(3,178,678.97)|(2,692,463.22)
六、综合收益总额||17,515,352,333.15|13,644,174,229.00
归属于母公司所有者的综合收益总额||16,808,220,833.70|13,354,073,934.20
归属于少数股东的综合收益总额||707,131,499.45|290,100,294.80
七、每股收益|||
(一)基本每股收益|(十六)2|1.810|1.445
(二)稀释每股收益|(十六)2|1.806|1.444
