page|89
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|1,861,876,045.49|1,434,382,695.96
应收票据|2|-|151,960,718.68
应收账款|3|15,458,362.77|14,656,308.73
应收款项融资|4|124,866,625.46|-
预付款项|5|166,115,716.87|56,987,595.36
其他应收款|6|45,037,814.86|20,709,274.60
存货|7|754,738,627.44|507,347,626.05
其他流动资产|8|206,872,985.04|89,689,946.61
流动资产合计||3,174,966,177.93|2,275,734,165.99
非流动资产：|||
固定资产|9|17,903,776,394.79|15,066,334,972.97
在建工程|10|7,043,511,626.20|5,867,497,634.61
无形资产|11|3,220,827,623.55|1,246,934,867.58
商誉|12|1,123,507,836.71|1,123,507,836.71
长期待摊费用|13|15,670,792.64|12,028,878.82
递延所得税资产|14|12,341,351.31|30,338,352.11
其他非流动资产|15|800,139,775.64|1,206,777,573.07
非流动资产合计||30,119,775,400.84|24,553,420,115.87
资产总计||33,294,741,578.77|26,829,154,281.86
流动负债：|||
短期借款|17|180,000,000.00|1,086,000,000.00
应付票据|18|548,014,304.56|1,027,697,530.97
应付账款|19|505,016,547.31|549,626,673.24
预收款项|20|317,869,363.18|462,608,022.44
应付职工薪酬|21|120,044,189.02|90,806,467.47
应交税费|22|272,409,626.20|555,393,409.66
其他应付款|23|1,713,455,371.59|1,514,178,930.24
其中：应付利息|23|15,079,820.04|92,523,052.58
一年内到期的非流动负债|24|1,873,916,414.92|2,194,016,710.69
流动负债合计||5,530,725,816.78|7,480,327,744.71
非流动负债：|||
长期借款|25|2,643,000,000.00|2,390,400,000.00
应付债券|26|43,415,811.08|3,075,160,000.00
长期应付款|27|1,595,537,212.72|76,767,951.98
page|90
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
预计负债|28|48,465,744.83|46,680,872.21
递延收益|29|81,400,324.91|77,236,796.38
非流动负债合计||4,411,819,093.54|5,666,245,620.57
负债合计||9,942,544,910.32|13,146,573,365.28
所有者权益（或股东权益）：|||
实收资本（或股本）|30|7,333,360,000.00|6,600,000,000.00
资本公积|31|7,267,767,308.67|1,127,308.67
专项储备|32|149,249,368.92|227,946,710.49
盈余公积|33|924,780,806.81|606,045,076.17
未分配利润|34|7,677,039,184.05|6,247,461,821.25
归属于母公司所有者权益（或股东权益）合计||23,352,196,668.45|13,682,580,916.58
少数股东权益||-|-
所有者权益（或股东权益）合计||23,352,196,668.45|13,682,580,916.58
负债和所有者权益（或股东权益）总计||33,294,741,578.77|26,829,154,281.86
