page|93
项目|附注七|2019 年度|2018 年度
一、营业总收入||13,568,199,157.86|13,052,290,293.73
其中：营业收入|35|13,568,199,157.86|13,052,290,293.73
二、营业总成本||9,027,365,209.06|8,528,109,574.93
其中：营业成本|35|7,604,612,878.07|6,931,142,900.17
税金及附加|36|159,957,144.35|258,348,300.66
销售费用|37|443,336,858.50|401,264,861.98
管理费用|38|442,006,615.62|385,997,294.25
研发费用|39|53,420,513.15|19,567,844.81
财务费用|40|324,031,199.37|531,788,373.06
其中：利息费用||317,060,102.25|441,109,712.85
利息收入||45,541,549.90|19,802,916.98
加：其他收益|41|20,871,867.64|16,030,322.06
信用减值损失（损失以“-”号填列）|42|78,198,135.73|-
资产减值损失（损失以“-”号填列）|43|-|-265,916.09
资产处置收益（损失以“－”号填列）|44|-8,026,370.54|-35,834,976.68
三、营业利润（亏损以“－”号填列）||4,631,877,581.63|4,504,110,148.09
加：营业外收入|45|55,345,934.79|14,337,252.84
减：营业外支出|46|301,788,548.08|235,137,488.59
四、利润总额（亏损总额以“－”号填列）||4,385,434,968.34|4,283,309,912.34
减：所得税费用|49|583,561,664.72|587,794,279.98
五、净利润（净亏损以“－”号填列）||3,801,873,303.62|3,695,515,632.36
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||3,801,873,303.62|3,695,515,632.36
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,801,873,303.62|3,695,515,632.36
六、综合收益总额||3,801,873,303.62|3,695,515,632.36
（一）归属于母公司所有者的综合收益总额||3,801,873,303.62|3,695,515,632.36
七、每股收益：|48||
（一）基本每股收益(元/股)||0.54|0.56
（二）稀释每股收益(元/股)||0.54|0.56
