page|95
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||10,651,729,056.18|9,048,379,569.24
收到其他与经营活动有关的现金|50（1）|101,052,502.23|82,241,749.58
经营活动现金流入小计||10,752,781,558.41|9,130,621,318.82
购买商品、接受劳务支付的现金||3,481,063,826.38|2,168,709,731.68
支付给职工及为职工支付的现金||1,305,772,093.33|1,109,366,293.78
支付的各项税费||1,579,086,374.82|1,989,327,408.10
支付其他与经营活动有关的现金|50（2）|814,273,232.08|598,030,272.75
经营活动现金流出小计||7,180,195,526.61|5,865,433,706.31
经营活动产生的现金流量净额|51（1）|3,572,586,031.80|3,265,187,612.51
二、投资活动产生的现金流量：|||
收到其他与投资活动有关的现金|50（3）|1,150,283,541.67|461,504,166.67
投资活动现金流入小计||1,150,283,541.67|461,504,166.67
购建固定资产、无形资产和其他长期资产支付的现金||4,540,541,585.66|1,599,626,269.51
支付其他与投资活动有关的现金|50（4）|582,440,697.26|570,000,000.00
投资活动现金流出小计||5,122,982,282.92|2,169,626,269.51
投资活动产生的现金流量净额||-3,972,698,741.25|-1,708,122,102.84
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||8,000,000,000.00|-
发行债券收到的现金||-|897,840,000.00
取得借款收到的现金||2,280,000,000.00|2,929,700,000.00
收到其他与筹资活动有关的现金|50（5）|521,337,792.55|-
筹资活动现金流入小计||10,801,337,792.55|3,827,540,000.00
偿还债务支付的现金||5,969,328,000.00|3,152,740,000.00
分配股利、利润或偿付利息支付的现金||2,473,797,115.23|1,921,746,260.83
支付其他与筹资活动有关的现金|50（6）|771,265,003.68|901,189,308.82
筹资活动现金流出小计||9,214,390,118.91|5,975,675,569.65
筹资活动产生的现金流量净额||1,586,947,673.64|-2,148,135,569.65
四、汇率变动对现金及现金等价物的影响||1,119,122.09|-305,781.45
五、现金及现金等价物净增加额||1,187,954,086.28|-591,375,841.43
加：期初现金及现金等价物余额||375,696,069.93|967,071,911.36
六、期末现金及现金等价物余额|51（2）|1,563,650,156.21|375,696,069.93
