page|86
项目|附注五|2021 年度|2020 年度
一、营业总收入|||25,879,734,543.63  14,984,750,774.61
其中：营业收入|||25,879,734,543.63  14,984,750,774.61
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||24,302,541,922.65  14,345,650,123.15
其中：营业成本|||21,423,612,425.81  12,109,579,411.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||887,626,393.87|611,936,710.79
销售费用||651,082,882.55|520,018,813.71
管理费用||650,256,052.51|630,389,790.49
研发费用|||
财务费用||689,964,167.91|473,725,397.07
其中：利息费用||825,851,923.32|641,904,878.97
利息收入||145,383,546.66|184,055,261.19
加：其他收益||30,112,451.83|20,974,390.12
投资收益（损失以“－”号填列）||126,723,654.13|429,155,987.08
其中：对联营企业和合营企业的投资收益||-124,028,299.30|-416,966,018.37
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-27,113,896.89|-73,702,032.62
资产减值损失（损失以“-”号填列）||-636,356,568.15|-322,890,265.50
page|87
资产处置收益（损失以“－”号填列）||711,303.21|894,091.77
三、营业利润（亏损以“－”号填列）||1,071,269,565.11|693,532,822.31
加：营业外收入||27,353,323.24|26,190,693.71
减：营业外支出||8,534,858.93|30,501,065.23
四、利润总额（亏损总额以“－”号填列）||1,090,088,029.42|689,222,450.79
减：所得税费用||624,515,377.55|556,331,706.24
五、净利润（净亏损以“－”号填列）||465,572,651.87|132,890,744.55
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||465,572,651.87|132,890,744.55
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||70,082,135.98|106,848,127.87
2.少数股东损益（净亏损以“-”号填列）||395,490,515.89|26,042,616.68
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||465,572,651.87|132,890,744.55
（一）归属于母公司所有者的综合收益总额||70,082,135.98|106,848,127.87
（二）归属于少数股东的综合收益总额||395,490,515.89|26,042,616.68
八、每股收益：|||
（一）基本每股收益(元/股)||-0.0412|-0.0343
（二）稀释每股收益(元/股)||-0.0412|-0.0343
