page|6
|2019 年年度报告
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|中航沈飞股份有限公司
公司的中文简称|中航沈飞
公司的外文名称|AVIC SHENYANG AIRCRAFT COMPANY LIMITED
公司的外文名称缩写|AVIC SAC
公司的法定代表人|钱雪松
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名|刘预 耿春明
联系地址|沈阳市皇姑区陵北街1号 沈阳市皇姑区陵北街1号
电话 024-86598850|024-86598851
传真 024-86598852|024-86598852
电子信箱 sac600760@163.com|sac600760@163.com
三、  基本情况简介|
公司注册地址|山东省威海市文登经济开发区珠海东路28-1号
公司注册地址的邮政编码|264400
公司办公地址|沈阳市皇姑区陵北街1号
公司办公地址的邮政编码|110850
公司网址|www.sac.avic.com
电子信箱|sac600760@163.com
四、  信息披露及备置地点|
公司选定的信息披露媒体名称|上海证券报
登载年度报告的中国证监会指定网站的网址  www.sse.com.cn|
公司年度报告备置地点|沈阳市皇姑区陵北街1号公司证券业务室
