page|97
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,104,864,208.11|891,549,484.14
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||11,570,979.31|12,480,149.93
收到其他与经营活动有关的现金|(七十九)|43,006,332.99|60,457,731.33
经营活动现金流入小计||1,159,441,520.41|964,487,365.40
购买商品、接受劳务支付的现金||400,854,050.88|165,998,993.37
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||336,491,203.58|342,051,433.92
支付的各项税费||112,699,614.93|83,682,078.09
支付其他与经营活动有关的现金|(七十九)|263,817,670.91|313,719,885.00
经营活动现金流出小计||1,113,862,540.30|905,452,390.38
经营活动产生的现金流量净额||45,578,980.11|59,034,975.02
二、投资活动产生的现金流量：|||
收回投资收到的现金|||2,149,882.02
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||328,737.80|7,933.96
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||328,737.80|2,157,815.98
购建固定资产、无形资产和其他长期资产支||26,919,318.76|19,594,929.01
page|98
付的现金|||
投资支付的现金||10,000,000.00|20,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||36,919,318.76|39,594,929.01
投资活动产生的现金流量净额||-36,590,580.96|-37,437,113.03
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||490,000.00|
其中：子公司吸收少数股东投资收到的现金||490,000.00|
取得借款收到的现金||507,700,000.00|458,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||508,190,000.00|458,000,000.00
偿还债务支付的现金||466,900,000.00|432,000,000.00
分配股利、利润或偿付利息支付的现金||22,272,431.84|35,954,312.52
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|(七十九)|22,243,625.92|
筹资活动现金流出小计||511,416,057.76|467,954,312.52
筹资活动产生的现金流量净额||-3,226,057.76|-9,954,312.52
四、汇率变动对现金及现金等价物的影响||-5,808,646.05|-1,362,663.71
五、现金及现金等价物净增加额||-46,304.66|10,280,885.76
加：期初现金及现金等价物余额||306,812,005.76|296,531,120.00
六、期末现金及现金等价物余额||306,765,701.10|306,812,005.76
