page|74
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,853,814,951.62|1,970,638,717.36
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|75
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||248,586.13|103.40
收到其他与经营活动有关的现金|（七十九）|294,167,426.19|496,780,073.39
经营活动现金流入小计||2,148,230,963.94|2,467,418,894.15
购买商品、接受劳务支付的现金||1,716,944,196.13|1,778,563,375.01
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||44,153,803.23|47,890,889.07
支付的各项税费||30,594,308.66|34,138,746.91
支付其他与经营活动有关的现金|（七十九）|267,698,744.98|434,984,455.04
经营活动现金流出小计||2,059,391,053.00|2,295,577,466.03
经营活动产生的现金流量净额||88,839,910.94|171,841,428.12
二、投资活动产生的现金流量：|||
收回投资收到的现金||21,283,404.15|268,518,001.04
取得投资收益收到的现金|||1,719,750.37
处置固定资产、无形资产和其他长期资产收回的现金净额||3,601,744.25|115,700.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||24,885,148.40|270,353,451.41
购建固定资产、无形资产和其他长期资产支付的现金||323,468,548.01|202,856,384.74
投资支付的现金||21,109,373.01|147,348,619.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十九）|9,097.01|11,179.39
投资活动现金流出小计||344,587,018.03|350,216,183.13
投资活动产生的现金流量净额||-319,701,869.63|-79,862,731.72
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||37,400,000.00|38,900,000.00
其中：子公司吸收少数股东投资收到的现金||37,400,000.00|38,900,000.00
取得借款收到的现金||393,181,170.41|200,806,303.95
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||430,581,170.41|239,706,303.95
偿还债务支付的现金||236,370,791.97|229,583,495.76
分配股利、利润或偿付利息支付的现金||11,171,425.70|38,359,345.98
其中：子公司支付给少数股东的股利、利润||1,200,000.00|1,600,000.00
支付其他与筹资活动有关的现金|（七十九）|1,300,000.00|750,000.00
page|76
筹资活动现金流出小计||248,842,217.67|268,692,841.74
筹资活动产生的现金流量净额||181,738,952.74|-28,986,537.79
四、汇率变动对现金及现金等价物的影响||-2,202,559.50|171,246.71
五、现金及现金等价物净增加额||-51,325,565.45|63,163,405.32
加：期初现金及现金等价物余额||286,067,135.04|222,903,729.72
六、期末现金及现金等价物余额||234,741,569.59|286,067,135.04
