page|85
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,652,717,664.71|8,258,296,718.18
收到其他与经营活动有关的现金|(五)46(1)|415,263,481.18|792,576,768.73
经营活动现金流入小计||9,067,981,145.89|9,050,873,486.91
购买商品、接受劳务支付的现金||5,386,414,781.45|6,470,518,582.68
支付给职工以及为职工支付的现金||487,863,021.94|528,790,381.94
支付的各项税费||1,360,440,841.80|1,658,556,053.95
支付其他与经营活动有关的现金|(五)46(2)|605,550,921.40|1,235,599,264.24
经营活动现金流出小计||7,840,269,566.59|9,893,464,282.81
经营活动产生的现金流量净额|(五)47(1)|1,227,711,579.30|(842,590,795.90)
二、投资活动产生的现金流量：|||
收回投资收到的现金||275,480,090.67|12,593,635.69
取得投资收益收到的现金||10,172,193.28|9,059,609.64
处置固定资产、无形资产和其他长期资产收回的现金净 额||222,807.00|3,705,556.00
收到其他与投资活动有关的现金|(五)46(3)|17,236,608,106.74|8,952,006,313.89
投资活动现金流入小计||17,522,483,197.69|8,977,365,115.22
购建固定资产、无形资产和其他长期资产支付的现金||13,274,893.05|549,432,305.08
投资支付的现金||29,450,000.00|36,141,300.00
取得子公司及其他营业单位支付的现金净额|(五)46(4)|85,513,230.04|-
支付其他与投资活动有关的现金|(五)46(5)|17,217,100,000.00|9,349,754,659.44
投资活动现金流出小计||17,345,338,123.09|9,935,328,264.52
投资活动产生的现金流量净额||177,145,074.60|(957,963,149.30)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|490,000.00
其中：子公司吸收少数股东投资收到的现金||-|490,000.00
取得借款收到的现金||8,086,000,000.00|7,166,525,736.00
收到其他与筹资活动有关的现金|(五)46(6)|2,811,963,434.83|1,143,169,468.84
筹资活动现金流入小计||10,897,963,434.83|8,310,185,204.84
偿还债务支付的现金||6,040,946,547.72|5,960,919,155.79
分配股利、利润或偿付利息支付的现金||1,287,450,371.81|1,140,315,796.75
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|(五)46(7)|3,831,799,801.02|1,390,173,033.50
筹资活动现金流出小计||11,160,196,720.55|8,491,407,986.04
筹资活动产生的现金流量净额||(262,233,285.72)|(181,222,781.20)
四、汇率变动对现金及现金等价物的影响||(118,268.01)|(34,130.70)
五、现金及现金等价物净增加(减少)额||1,142,505,100.17|(1,981,810,857.10)
加：年初现金及现金等价物余额|(五)47(2)|2,797,691,504.08|4,779,502,361.18
六、年末现金及现金等价物余额|(五)47(2)|3,940,196,604.25|2,797,691,504.08
