page|83
项目|附注|本年发生额|上年发生额
一、营业收入|(五)33|10,697,019,545.17|7,213,165,825.69
减：营业成本|(五)33|7,782,099,234.05|4,330,461,173.27
税金及附加|(五)34|923,816,885.15|588,121,884.85
销售费用|(五)35|436,905,942.74|409,360,381.42
管理费用|(五)36|350,469,358.85|519,535,492.34
财务费用|(五)37|476,089,528.05|455,786,256.92
其中：利息费用||614,263,586.67|508,595,095.27
利息收入||142,708,240.77|51,746,560.78
加：其他收益|(五)38|12,164,976.05|5,903,000.22
投资收益|(五)39|34,996,616.37|846,969,597.38
其中：对联营企业和合营企业的投资收益(损失)||15,057,440.79|(44,147,253.01)
以摊余成本计量的金融资产终止确认    收益(损失)||774,089.67|(71,108,918.30)
信用减值利得(损失)|(五)40|2,442,291.36|(9,689,518.70)
资产减值利得(损失)|(五)41|(162,436,545.52)|(448,751,879.94)
资产处置收益(损失)||41,895.28|606,515.68
二、营业利润||614,847,829.87|1,304,938,351.53
加：营业外收入|(五)42|30,461,702.89|23,741,717.17
减：营业外支出|(五)43|47,511,661.65|49,293,383.02
三、利润总额||597,797,871.11|1,279,386,685.68
减：所得税费用|(五)44|437,833,452.68|605,827,597.69
四、净利润||159,964,418.43|673,559,087.99
(一)按经营持续性分类：|||
1、持续经营净利润||159,964,418.43|673,559,087.99
2、终止经营净利润||-|-
(二)按所有权归属分类：|||
1、归属于母公司股东的净利润||281,350,353.66|787,168,958.40
2、少数股东损益||(121,385,935.23)|(113,609,870.41)
五、其他综合收益的税后净额|(五)45|(1,050,000.00)|(516,364,790.74)
归属于母公司股东的其他综合收益的税后净额||(1,050,000.00)|(516,364,790.74)
(一)不能重分类进损益的其他综合收益||(1,050,000.00)|15,375,000.00
1、其他权益工具投资公允价值变动||(1,050,000.00)|15,375,000.00
(二)将重分类进损益的其他综合收益||-|(531,739,790.74)
1、外币财务报表折算差额||-|(19,284,255.54)
2、其他||-|(512,455,535.20)
归属于少数股东的其他综合收益的税后净额||-|-
六、综合收益总额||158,914,418.43|157,194,297.25
归属于母公司股东的综合收益总额||280,300,353.66|270,804,167.66
归属于少数股东的综合收益总额||(121,385,935.23)|(113,609,870.41)
七、每股收益|||
(一)基本每股收益||0.4232|1.1840
(二)稀释每股收益||0.4232|1.1840
