page|83
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|22,082,716,460.56|19,547,502,663.21
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|2|2,668,187,445.20|3,475,032,065.02
应收账款|3|14,811,827,638.69|15,270,815,875.78
应收款项融资|||
预付款项|4|8,473,874,899.35|7,869,566,730.21
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|5|9,596,046,730.89|10,702,509,036.51
其中：应收利息|||251,300.00
应收股利||11,863,946.55|
买入返售金融资产|||
存货|6|53,458,921,007.51|52,197,618,110.17
合同资产|7|18,235,459,448.24|17,063,346,979.33
持有待售资产|||
一年内到期的非流动资产|8|956,802,086.19|1,071,855,569.69
其他流动资产|9|3,755,370,890.34|2,579,085,047.67
流动资产合计||134,039,206,606.97|129,777,332,077.59
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|10|15,606,247,562.66|15,274,561,016.63
长期股权投资|11|20,810,283,694.07|14,159,585,398.17
其他权益工具投资|12|970,177,145.28|699,777,632.80
其他非流动金融资产|13|5,375,588,446.33|5,213,561,990.40
投资性房地产|14|194,127,937.66|38,252,959.50
固定资产|15|17,053,769,945.53|17,107,206,656.89
在建工程|16|24,249,852,146.02|16,089,509,517.57
生产性生物资产|||
油气资产|||
使用权资产|17|651,363,811.00|
无形资产|18|12,254,891,906.47|16,682,985,922.94
page|84
开发支出|19|192,234,969.87|202,447,664.50
商誉|20|1,539,598,450.11|1,539,598,450.11
长期待摊费用|21|424,711,158.61|599,559,732.77
递延所得税资产|22|838,954,644.13|732,356,187.10
其他非流动资产|23|262,364,209.03|92,530,714.76
非流动资产合计||100,424,166,026.77|88,431,933,844.14
资产总计||234,463,372,633.74|218,209,265,921.73
流动负债：|||
短期借款|24|17,193,582,132.84|29,614,035,130.24
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|25|6,896,860,218.99|2,717,201,183.75
应付账款|26|37,379,719,843.98|35,919,651,842.71
预收款项|||
合同负债|27|20,994,388,985.65|14,556,285,412.84
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|28|280,258,503.79|258,349,996.38
应交税费|29|2,903,157,677.77|2,530,455,699.97
其他应付款|30|21,748,778,601.17|20,153,423,281.23
其中：应付利息||1,394,019,080.65|1,304,487,613.85
应付股利||481,314,603.58|354,597,848.64
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|31|5,065,596,064.20|12,195,692,656.14
其他流动负债|32|7,071,158.02|18,743,979.57
流动负债合计||112,469,413,186.41|117,963,839,182.83
非流动负债：|||
保险合同准备金|||
长期借款|33|39,284,312,089.44|31,782,735,313.26
应付债券|34|12,400,000,000.00|9,150,000,000.00
其中：优先股|||
永续债|||
租赁负债|35|368,558,662.22|
长期应付款|36|15,970,505.41|665,207,834.57
长期应付职工薪酬|37|2,232,163,400.00|2,162,107,000.00
预计负债|38|44,703,828.76|
递延收益|39|267,413,476.75|253,966,732.97
递延所得税负债|22|1,054,660,387.09|1,061,867,980.96
其他非流动负债|40|94,675,825.82|84,914,215.68
非流动负债合计||55,762,458,175.49|45,160,799,077.44
负债合计||168,231,871,361.90|163,124,638,260.27
所有者权益（或股东权益）：|||
page|85
实收资本（或股本）|41|4,604,777,412.00|4,604,777,412.00
其他权益工具|42|21,500,000,000.00|16,000,000,000.00
其中：优先股|||
永续债||21,500,000,000.00|16,000,000,000.00
资本公积|43|7,615,101,441.65|7,511,468,750.95
减：库存股|||
其他综合收益|44|-191,375,410.14|-372,768,899.26
专项储备|45|98,341,095.32|86,232,567.27
盈余公积|46|1,652,127,077.28|1,582,944,663.22
一般风险准备|||
未分配利润|47|17,255,150,152.67|13,391,336,189.86
归属于母公司所有者权益（或股东权益）合计||52,534,121,768.78|42,803,990,684.04
少数股东权益||13,697,379,503.06|12,280,636,977.42
所有者权益（或股东权益）合计||66,231,501,271.84|55,084,627,661.46
负债和所有者权益（或股东权益）总计||234,463,372,633.74|218,209,265,921.73
