page|87
项目|附注七|2019 年度|2018 年度
一、营业总收入||109,945,696,867.36|100,625,669,771.65
其中：营业收入|48|109,945,696,867.36|100,625,669,771.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||104,712,575,770.49|95,534,043,915.96
其中：营业成本|48|91,941,725,516.55|84,192,223,416.30
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|49|1,149,162,558.63|1,116,588,218.17
销售费用|50|1,380,083,783.41|1,301,187,534.54
管理费用|51|4,687,208,935.58|4,455,338,439.97
研发费用|52|2,789,157,724.31|1,980,553,048.35
财务费用|53|2,765,237,252.01|2,488,153,258.63
其中：利息费用||2,895,796,192.41|2,586,809,571.66
利息收入||314,509,414.31|375,932,327.28
加：其他收益|54|1,126,998,773.88|1,565,739,163.15
投资收益（损失以“－”号填列）|55|3,237,836,151.65|1,140,822,153.76
其中：对联营企业和合营企||806,662,212.19|979,440,321.23
page|88
业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|56|44,373,957.58|418,392,062.83
信用减值损失（损失以“-”号填列）|57|-715,855,357.50|-102,522,435.98
资产减值损失（损失以“-”号填列）|58|-123,553,335.30|-453,006,437.05
资产处置收益（损失以“－”号填列）|59|-25,084,161.93|48,256,144.11
三、营业利润（亏损以“－”号填列）||8,777,837,125.25|7,709,306,506.51
加：营业外收入|60|57,470,220.02|85,565,730.23
减：营业外支出|61|47,417,095.43|50,432,875.06
四、利润总额（亏损总额以“－”号填列）||8,787,890,249.84|7,744,439,361.68
减：所得税费用|62|2,224,280,760.82|1,784,545,792.66
五、净利润（净亏损以“－”号填列）||6,563,609,489.02|5,959,893,569.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||6,563,609,489.02|5,959,893,569.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||5,441,781,311.03|4,657,706,341.59
2.少数股东损益（净亏损以“-”号填列）||1,121,828,177.99|1,302,187,227.43
六、其他综合收益的税后净额||178,934,563.49|-886,571,914.15
（一）归属母公司所有者的其他综合收益的税后净额||181,393,489.12|-874,212,370.10
1．不能重分类进损益的其他综合收益||267,455,975.27|-576,929,907.43
（1）重新计量设定受益计划变动额||37,634,688.00|-262,762,584.00
（2）权益法下不能转损益的其他综合收益||-18,298.35|-14,724.00
（3）其他权益工具投资公允价值变动||229,839,585.62|-314,152,599.43
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-86,062,486.15|-297,282,462.67
page|89
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-86,062,486.15|-297,282,462.67
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-2,458,925.63|-12,359,544.05
七、综合收益总额||6,742,544,052.51|5,073,321,654.87
（一）归属于母公司所有者的综合收益总额||5,623,174,800.15|3,783,493,971.49
（二）归属于少数股东的综合收益总额||1,119,369,252.36|1,289,827,683.38
八、每股收益：|||
（一）基本每股收益(元/股)||1.034|0.887
（二）稀释每股收益(元/股)||1.034|0.887
