page|83
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||16,382,612,476.98|19,358,598,172.06
收到的税费返还||311,900,130.87|626,266,626.54
收到其他与经营活动有关的现金|七、78|1,109,648,649.57|1,246,295,604.53
经营活动现金流入小计||17,804,161,257.42|21,231,160,403.13
购买商品、接受劳务支付的现金||14,150,057,927.45|15,329,547,886.56
支付给职工及为职工支付的现金||1,748,477,811.22|1,869,349,761.63
支付的各项税费||210,906,274.41|212,603,947.28
支付其他与经营活动有关的现金|七、78|1,524,265,806.15|2,261,842,791.74
经营活动现金流出小计||17,633,707,819.23|19,673,344,387.21
经营活动产生的现金流量净额||170,453,438.19|1,557,816,015.92
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,290,390,000.00|1,029,178,452.06
取得投资收益收到的现金||95,356,349.42|52,731,173.22
处置固定资产、无形资产和其他长期资产收回的现金净额||1,476,808.42|8,729,390.46
处置子公司及其他营业单位收到的现金净额|||52,582,316.42
收到其他与投资活动有关的现金|七、78|17,377,347.56|
投资活动现金流入小计||2,404,600,505.40|1,143,221,332.16
购建固定资产、无形资产和其他长期资产支付的现金||801,534,017.87|730,031,114.76
投资支付的现金||2,514,270,000.00|861,338,045.00
取得子公司及其他营业单位支付的现金净额|||13,144,731.60
支付其他与投资活动有关的现金|七、78||42,489,850.78
投资活动现金流出小计||3,315,804,017.87|1,647,003,742.14
投资活动产生的现金流量净额||-911,203,512.47|-503,782,409.98
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||705,131,598.69|901,440,000.00
其中：子公司吸收少数股东投资收到的现金||857,500.00|1,440,000.00
取得借款收到的现金||4,136,934,000.00|3,614,604,984.86
筹资活动现金流入小计||4,842,065,598.69|4,516,044,984.86
偿还债务支付的现金||4,876,540,739.88|4,959,182,484.61
分配股利、利润或偿付利息支付的现金||220,891,225.88|214,764,562.73
其中：子公司支付给少数股东的股利、利润||11,990,000.00|8,286,149.93
支付其他与筹资活动有关的现金|七、78|105,307,739.26|5,216,875.00
筹资活动现金流出小计||5,202,739,705.02|5,179,163,922.34
筹资活动产生的现金流量净额||-360,674,106.33|-663,118,937.48
四、汇率变动对现金及现金等价物的影响||-54,500,028.00|31,393,000.16
五、现金及现金等价物净增加额||-1,155,924,208.61|422,307,668.62
加：期初现金及现金等价物余额||6,286,962,746.58|5,864,655,077.96
六、期末现金及现金等价物余额||5,131,038,537.97|6,286,962,746.58
