page|77
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,654,556,936.32|2,359,804,022.77
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||26,434,036.35|77,130,055.07
经营活动现金流入小计||2,680,990,972.67|2,436,934,077.84
购买商品、接受劳务支付的现金||3,061,342,507.14|2,107,764,554.87
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
page|78
支付保单红利的现金|||
支付给职工及为职工支付的现金||152,744,319.99|128,446,243.45
支付的各项税费||102,747,512.34|124,228,644.92
支付其他与经营活动有关的现金||87,091,138.75|122,006,725.82
经营活动现金流出小计||3,403,925,478.22|2,482,446,169.06
经营活动产生的现金流量净额||-722,934,505.55|-45,512,091.22
二、投资活动产生的现金流量：|||
收回投资收到的现金||100,000.00|
取得投资收益收到的现金||600,000.00|200,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||3,084,020.00|3,884,534.40
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||2,862,048.72|4,035,421.22
投资活动现金流入小计||6,646,068.72|8,119,955.62
购建固定资产、无形资产和其他长期资产支付的现金||13,054,207.38|27,246,915.29
投资支付的现金||49,800,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||62,854,207.38|27,246,915.29
投资活动产生的现金流量净额||-56,208,138.66|-19,126,959.67
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||239,882,226.42|18,500,000.00
其中：子公司吸收少数股东投资收到的现金||15,000,000.00|18,500,000.00
取得借款收到的现金||795,485,000.00|289,478,500.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,035,367,226.42|307,978,500.00
偿还债务支付的现金||217,978,500.00|153,292,000.00
分配股利、利润或偿付利息支付的现金||77,583,298.85|24,805,183.61
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||14,640,349.35|6,209,753.44
筹资活动现金流出小计||310,202,148.20|184,306,937.05
筹资活动产生的现金流量净额||725,165,078.22|123,671,562.95
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-53,977,565.99|59,032,512.06
page|79
加：期初现金及现金等价物余额||733,605,693.52|674,573,181.46
六、期末现金及现金等价物余额||679,628,127.53|733,605,693.52
