page|5
|第二节  公司简介和主要财务指标
一、公司信息|
公司的中文名称|上海电气集团股份有限公司
公司的中文简称|上海电气
公司的外文名称|Shanghai Electric Group Company Limited
公司的外文名称缩写|Shanghai Electric
公司的法定代表人|冷伟青
二、联系人和联系方式|
|董事会秘书
姓名|周志炎
联系地址|上海市黄浦区四川中路110号
电话|+86（21）33261888
传真|+86（21）34695780
电子信箱|ir@shanghai-electric.com
三、基本情况简介|
公司注册地址|上海市兴义路8号万都中心30楼
公司注册地址的历史变更情况|无
公司办公地址|上海市黄浦区四川中路110号
公司办公地址的邮政编码|200002
公司网址|http://www.shanghai-electric.com
电子信箱|service@shanghai-electric.com
四、信息披露及备置地点|
|中国证券报 www.cs.com.cn
公司披露年度报告的媒体名称及网址|上海证券报 www.cnstock.com
|证券时报   www.stcn.com
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|公司董事会办公室
