page|78
合并资产负债表编制单位：山东胜利股份有限公司2019年12月31日单位：人民币元||||
项        目|附注|2019年12月31日|2019年1月1日|2018年12月31日
流动资产：||||
货币资金|五、（一）|740,019,460.63|1,019,938,236.45|1,019,938,236.45
交易性金融资产||-||
以公允价值计量且其变动计入当期损益的金融资产||||
衍生金融资产||||
应收票据|五、（二）||40,900,821.06|40,900,821.06
应收账款|五、（三）|417,963,503.31|338,520,064.54|320,224,324.18
应收款项融资|五、（四）|45,178,585.31|-|
预付款项|五、（五）|227,028,157.88|147,300,534.70|147,300,534.70
其他应收款|五、（六）|179,715,564.40|186,089,216.33|183,521,108.23
其中：应收利息||-|-|
应收股利||-|-|
存货|五、（七）|413,548,323.42|447,246,067.79|447,246,067.79
持有待售资产|||-|
一年内到期的非流动资产||-|-|
其他流动资产|五、（八）|50,914,164.95|56,345,485.26|56,345,485.26
流动资产合计||2,074,367,759.90|2,236,340,426.13|2,215,476,577.67
非流动资产：||||
债权投资|||-|
可供出售金融资产|||-|77,265,266.99
其他债权投资|||-|
持有至到期投资||-|-|
长期应收款||-|-|
长期股权投资|五、（九）|829,037,179.11|778,173,556.00|778,173,556.00
其他权益工具投资|五、（十）|71,524,824.79|77,265,266.99|
其他非流动金融资产|||-|
投资性房地产|五、（十一）|77,219,556.00|82,387,794.00|82,387,794.00
固定资产|五、（十二）|1,588,179,807.64|1,465,879,046.08|1,465,879,046.08
在建工程|五、（十三）|215,260,087.13|197,664,532.50|197,664,532.50
生产性生物资产|||-|
油气资产|||-|
无形资产|五、（十四）|113,470,265.92|123,586,774.46|123,586,774.46
开发支出|||-|
商誉|五、（十五）|1,285,536,270.56|1,229,406,768.03|1,229,406,768.03
长期待摊费用|五、（十六）|16,264,836.92|16,003,839.88|16,003,839.88
递延所得税资产|五、（十七）|187,479,371.13|189,708,330.13|193,743,958.20
其他非流动资产|五、（十八）|50,974,017.17|47,438,503.58|47,438,503.58
非流动资产合计||4,434,946,216.37|4,207,514,411.65|4,211,550,039.72
资产总计||6,509,313,976.27|6,443,854,837.78|6,427,026,617.39
page|79
||||
合并资产负债表（续）编制单位：山东胜利股份有限公司2019年12月31日||||单位：人民币元
项        目|附注|2019年12月31日|2019年1月1日|2018年12月31日
流动负债：||||
短期借款|五、（十九）       926,639,462.15||1,093,601,851.87|1,090,760,000.00
交易性金融负债||-|-|
以公允价值计量且其变动计入当期损益的金融负债|||-|
衍生金融负债|||-|
应付票据|五、（二十）       549,620,000.00||660,000,000.00|660,000,000.00
应付账款|五、（二十一）       358,084,214.54||357,975,578.49|357,975,578.49
预收款项|五、（二十二）       689,379,949.16||544,091,655.00|544,091,655.00
应付职工薪酬|五、（二十三）        59,022,364.69||35,814,845.84|35,814,845.84
应交税费|五、（二十四）        29,865,709.33||54,366,449.56|54,366,449.56
其他应付款|五、（二十五）       156,154,691.29||152,355,786.73|157,531,995.54
其中：应付利息||-|-|5,176,208.81
应付股利|五、（二十五）         7,303,533.44||17,469,356.97|17,469,356.97
持有待售负债|||-|
一年内到期的非流动负债|五、（二十六）       242,602,434.38||152,051,023.61|149,716,666.67
其他流动负债||-|-|
流动负债合计||3,011,368,825.54|3,050,257,191.10|3,050,257,191.10
非流动负债：||||
长期借款|五、（二十七）       180,340,000.00||164,500,000.00|164,500,000.00
应付债券||-|-|
其中：优先股|||-|
永续债|||-|
长期应付款|五、（二十八）       348,566,666.67||443,683,333.33|443,683,333.33
长期应付职工薪酬|||-|
预计负债|||-|
递延收益|五、（二十九）        16,788,712.04||12,074,682.16|12,074,682.16
递延所得税负债|五、（三十）        40,256,682.12||19,255,786.65|19,255,786.65
其他非流动负债||-|-|
非流动负债合计||585,952,060.83|639,513,802.14|639,513,802.14
负债合计||3,597,320,886.37|3,689,770,993.24|3,689,770,993.24
股东权益：||||
股本|五、（三十一）|880,084,656.00      880,084,656.00||880,084,656.00
其他权益工具|||-|
其中：优先股|||-|
永续债|||-|
资本公积|五、（三十二）|1,012,999,291.05    1,011,907,900.19||1,011,907,900.19
减：库存股|||-|
其他综合收益|五、（三十三）|335,580.78                 -||
专项储备|五、（三十四）|11,057,440.09        7,969,630.90||7,969,630.90
盈余公积|五、（三十五）|139,973,677.38      130,840,169.04||130,840,169.04
未分配利润|五、（三十六）|377,569,059.69      253,275,276.79||240,690,168.25
归属于母公司股东权益合计||2,422,019,704.99|2,284,077,632.92|2,271,492,524.38
少数股东权益||489,973,384.91      470,006,211.62||465,763,099.77
股东权益合计||2,911,993,089.90|2,754,083,844.54|2,737,255,624.15
负债和股东权益总计||6,509,313,976.27|6,443,854,837.78|6,427,026,617.39
