page|82
合 并 利 润 表2019年度编制单位：山东胜利股份有限公司单位：人民币元||
项             目|本期发生额|上期发生额
一、营业收入|5,348,283,403.38|4,675,800,100.30
减：营业成本|4,542,511,783.85|3,936,743,398.23
税金及附加|14,531,957.39|12,959,558.43
销售费用|299,122,038.39|247,413,830.36
管理费用|148,528,785.96|132,377,671.12
研发费用|19,279,557.41|17,663,318.65
财务费用|78,185,696.96|99,333,789.37
其中：利息费用|100,623,924.62|114,341,172.94
利息收入|25,737,481.90|19,485,338.39
加：其他收益|4,183,605.22|5,488,470.11
投资收益（损失以“－”号填列）|58,268,685.86|58,888,204.75
其中：对联营企业和合营企业的投资收益|56,507,733.15|62,780,135.36
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）||
净敞口套期收益（损失以“－”号填列）|-|
公允价值变动收益（损失以“－”号填列）|-4,886,327.08|-6,049,878.60
信用减值损失（损失以“－”号填列）|478,607.70|
资产减值损失（损失以“－”号填列）|-18,705,697.80|-52,546,980.61
资产处置收益（损失以“－”号填列）|718,169.60|586,005.65
二、营业利润（亏损以“－”号填列）|286,180,626.92|235,674,355.44
加：营业外收入|4,901,006.17|2,217,951.25
减：营业外支出|2,999,378.59|1,207,421.01
三、利润总额（亏损总额以“－”号填列）|288,082,254.50|236,684,885.68
减：所得税费用|84,128,378.82|54,794,672.35
四、净利润（净亏损以“－”号填列）|203,953,875.68|181,890,213.33
（一）按经营持续性分类：||
1.持续经营净利润（净亏损以“－”号填列）|206,299,223.33|184,171,054.97
2.终止经营净利润（净亏损以“－”号填列）|-2,345,347.65|-2,280,841.64
（二）按所有权归属分类：||
1.归属于母公司股东的净利润（净亏损以“－”号填列）|133,427,291.24|102,530,653.04
2.少数股东损益（净亏损以“－”号填列）|70,526,584.44|79,359,560.29
五、其他综合收益的税后净额|335,580.78|-
归属母公司股东的其他综合收益的税后净额|335,580.78|-
(一）不能重分类进损益的其他综合收益|335,580.78|-
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|335,580.78|
4.企业自身信用风险公允价值变动||
（二）将重分类进损益的其他综合收益|-|-
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
六、综合收益总额|204,289,456.46|181,890,213.33
归属于母公司股东的综合收益总额|133,762,872.02|102,530,653.04
归属于少数股东的综合收益总额|70,526,584.44|79,359,560.29
七、每股收益||
（一）基本每股收益|0.15|0.12
（二）稀释每股收益|0.15|0.12
