page|65
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,804,924,137.15|6,111,476,778.30
page|66
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||53,832,606.88|60,100,375.32
收到其他与经营活动有关的现金||433,417,796.38|501,995,692.41
经营活动现金流入小计||7,292,174,540.41|6,673,572,846.03
购买商品、接受劳务支付的现金||3,688,404,820.14|2,360,174,620.82
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||757,716,805.65|623,333,026.52
支付的各项税费||683,536,747.94|829,851,175.93
支付其他与经营活动有关的现金||715,111,681.56|582,703,962.32
经营活动现金流出小计||5,844,770,055.29|4,396,062,785.59
经营活动产生的现金流量净额||1,447,404,485.12|2,277,510,060.44
二、投资活动产生的现金流量：|||
收回投资收到的现金||434,071,298.35|470,000,000.00
取得投资收益收到的现金|||1,288,602.73
处置固定资产、无形资产和其他长期资产收回的现金净额||7,511,287.97|30,568,402.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||441,582,586.32|501,857,004.73
购建固定资产、无形资产和其他长期资产支付的现金||1,279,463,682.06|1,175,531,430.62
投资支付的现金||400,000,000.00|8,910,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,679,463,682.06|1,184,441,430.62
投资活动产生的现金流量净额||-1,237,881,095.74|-682,584,425.89
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||16,200,000.00
其中：子公司吸收少数股东投资收到的现金|||16,200,000.00
取得借款收到的现金|||198,000,000.00
收到其他与筹资活动有关的现金|||
page|67
筹资活动现金流入小计||0.00|214,200,000.00
偿还债务支付的现金||15,680,000.00|520,000,000.00
分配股利、利润或偿付利息支付的现金||587,052,890.21|504,348,069.12
其中：子公司支付给少数股东的股利、利润||47,189,638.00|37,000,000.00
支付其他与筹资活动有关的现金||1,771,942.00|
筹资活动现金流出小计||604,504,832.21|1,024,348,069.12
筹资活动产生的现金流量净额||-604,504,832.21|-810,148,069.12
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-394,981,442.83|784,777,565.43
加：期初现金及现金等价物余额||1,104,803,348.71|320,025,783.28
六、期末现金及现金等价物余额||709,821,905.88|1,104,803,348.71
