page|128
项目|附注|2021 年 12 月 31日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|152,211,102.46|172,469,829.29
结算备付金|||
拆出资金|||
交易性金融资产|七、2|169,000,000.00|
衍生金融资产|||
应收票据|七、4|1,288,083.96|2,130,000.00
应收账款|七、5|217,962,610.45|162,536,075.22
应收款项融资|七、6|4,918,530.63|975,929.00
预付款项|七、7|30,629,905.49|26,748,858.61
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|19,045,244.83|11,887,909.16
page|129
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|75,471,081|62,832,465.82
合同资产|七、10|19,583,420.18|10,908,679.25
持有待售资产|||
一年内到期的非流动资产|七、12|4,480,311.95|
其他流动资产|七、13|1,243,405.62|6,060,835.84
流动资产合计||695,833,696.57|456,550,582.19
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七、16|22,170,938.53|12,313,245.54
长期股权投资|七、17||
其他权益工具投资|七、18||4,008,005.18
其他非流动金融资产|||
投资性房地产|七、20|85,306,688.95|85,707,730.85
固定资产|七、21|91,154,482.40|101,618,909.02
在建工程|七、22|201,848,386.43|100,877,638.85
生产性生物资产|||
油气资产|||
使用权资产|七、25|2,156,337.06|
无形资产|七、26|15,081,395.10|17,030,374.56
开发支出|||
商誉|七、28|6,880,547.14|6,880,547.14
长期待摊费用|七、29|1,976,291.25|3,261,712.39
page|130
递延所得税资产|七、30|7,676,154.60|5,696,903.72
其他非流动资产|七、31|9,607,304.32|2,015,897.62
非流动资产合计||443,858,525.78|339,410,964.87
资产总计||1,139,692,222.35|795,961,547.06
流动负债：|||
短期借款|七、32|24,271,938.31|81,040,531.89
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|20,201,816.79|33,967,630.37
应付账款|七、36|119,333,572.19|83,956,839.40
预收款项|||
合同负债|七、38|51,358,203.76|39,475,578.17
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|18,738,477.46|16,378,627.37
应交税费|七、40|17,035,789.5|10,426,629.27
其他应付款|七、41|17,469,445.41|11,209,808.74
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|50,056,527.78|56,527.78
其他流动负债|七、44|4,242,015.51|4,020,596.18
流动负债合计||322,707,786.71|280,532,769.17
非流动负债：|||
page|131
保险合同准备金|||
长期借款|七、45||50,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|2,202,495.65|
长期应付款|||
长期应付职工薪酬|||
预计负债|七、50|7,431,276.42|5,514,907.34
递延收益|||
递延所得税负债|七、30|213,300.00|426,600.00
其他非流动负债|||
非流动负债合计||9,847,072.07|55,941,507.34
负债合计||332,554,858.78|336,474,276.51
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|77,200,000.00|57,900,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|440,433,617.09|185,357,124.57
减：库存股|||
其他综合收益|七、54||-792,195.60
专项储备|||
盈余公积|七、59|35,867,945.52|25,756,446.54
一般风险准备|||
未分配利润|七、60|249,623,772.54|187,307,702.25
归属于母公司所有者权益（或股东权益）合计||803,125,335.15|455,529,077.76
少数股东权益||4,012,028.42|3,958,192.79
所有者权益（或股东权益）合计||807,137,363.57|459,487,270.55
page|132
负债和所有者权益（或股东权益）总计||1,139,692,222.35|795,961,547.06
