page|93
2|020 年度合并及公司现金流量表||||
(除特别注明外，金额单位为人民币元)|||||
|附注四|2020年度|2019年度|2020年度|2019年度
|项       目||||
|(除另注外)|合并|合并|公司|公司
一、经营活动产生的现金流量|||||
|销售商品、提供劳务收到的现金|32,249,365,646|33,048,233,130|22,805,199,928|23,823,793,769
|收到的税费返还|17,073,564|18,516,847|12,486,674|8,071,138
|收到其他与经营活动有关的现金 (57)(a)|1,733,115,735|1,807,961,603|464,645,732|525,159,748
|经营活动现金流入小计|33,999,554,945|34,874,711,580|23,282,332,334|24,357,024,655
|购买商品、接受劳务支付的现金|(15,263,953,862)|(16,451,021,182)|(15,932,533,345)|(17,071,424,198)
|支付给职工以及为职工支付的现金|(4,471,128,901)|(4,830,268,740)|(1,629,430,523)|(1,701,438,298)
|支付的各项税费|(4,943,789,057)|(5,210,668,233)|(1,247,625,874)|(1,138,905,880)
|支付其他与经营活动有关的现金 (57)(b)|(4,367,260,763)|(4,366,200,846)|(2,744,536,860)|(2,789,719,269)
|经营活动现金流出小计|(29,046,132,583)|(30,858,159,001)     (21,554,126,602)||(22,701,487,645)
|经营活动产生的现金流量净额 (58)(a)|4,953,422,362|4,016,552,579|1,728,205,732|1,655,537,010
二、投资活动产生的现金流量|||||
|收回投资收到的现金|2,530,178,900|1,669,900,000|381,460,000|642,760,000
|取得投资收益所收到的现金|87,605,830|76,740,009|772,672,950|922,428,055
|处置固定资产、无形资产和其他||||
|长期资产收回的现金净额|20,462,220|248,098,952|3,512,260|1,007,829
|收到其他与投资活动有关的现金 (57)(c)|308,074,044|701,467,374|1,000,500|3,902,150
|投资活动现金流入小计|2,946,320,994|2,696,206,335|1,158,645,710|1,570,098,034
|购建固定资产、无形资产和其他||||
|长期资产支付的现金|(1,295,167,063)|(1,155,246,070)|(369,140,677)|(264,803,287)
|投资支付的现金|(3,000,100,000)|(1,867,622,367)|(607,778,181)|(1,341,860,000)
|支付其他与投资活动有关的现金 (57)(d)|(138,792,096)|(21,103,503)|(1,669,800)|(3,873,350)
|投资活动现金流出小计|(4,434,059,159)|(3,043,971,940)|(978,588,658)|(1,610,536,637)
|投资活动产生的现金流量净额|(1,487,738,165)|(347,765,605)|180,057,052|(40,438,603)
三、筹资活动产生的现金流量|||||
|吸收投资收到的现金 附注十二|281,576,000|-|279,576,000|-
|取得借款收到的现金|720,120,000|256,620,000|-|-
|筹资活动现金流入小计|1,001,696,000|256,620,000|279,576,000|-
|偿还债务支付的现金|(270,540,000)|(289,545,200)|-|-
|分配股利、利润或偿付利息支付的现金|(793,126,772)|(710,882,300)|(732,397,535)|(645,739,858)
|其中：子公司支付给少数股东的股利、利润|(48,402,856)|(54,705,496)|—|—
|支付其他与筹资活动有关的现金 (57)(e)|(294,120,079)|(24,909,652)|(16,926,317)|(14,316,229)
|筹资活动现金流出小计|(1,357,786,851)|(1,025,337,152)|(749,323,852)|(660,056,087)
|筹资活动产生的现金流量净额|(356,090,851)|(768,717,152)|(469,747,852)|(660,056,087)
