page|90
2|020 年 12 月 31 日合并及公司资产负债表|||||
|(除特别注明外，金额单位为人民币元)|||||
||附注四|2020年12月31日|2019年12月31日|2020年12月31日|2019年12月31日
|资                产|||||
||(除另注外)|合并|合并|公司|公司
|流动资产|||||
|货币资金|(1)|18,466,880,608|15,301,983,408|7,498,667,378|6,073,903,675
|交易性金融资产|(2)|1,888,862,835|1,523,793,019|-|-
|应收票据|(3)|5,648,580|75,100,000|3,500,000|75,100,000
|应收账款|(4),十五(1)|119,506,428|151,069,427|1,289,784,383|1,191,236,318
|预付款项|(5)|239,884,336|117,156,091|173,715,881|81,193,236
|其他应收款|(6),十五(2)|73,893,587|86,269,436|767,551,777|661,842,853
|存货|(7),十五(3)|3,281,033,526|3,181,769,333|1,484,423,351|1,440,374,542
|其他流动资产|(8)|552,409,778|564,677,336|213,704,493|337,621,348
|流动资产合计||24,628,119,678|21,001,818,050|11,431,347,263|9,861,271,972
|非流动资产|||||
|债权投资|十五(4)|-|-|-|163,325,489
|长期股权投资|(9),十五(5)|374,333,837|376,641,802|10,777,859,391|10,452,229,369
|其他非流动金融资产||600,000|600,000|300,000|300,000
|投资性房地产|(10)|27,183,434|36,504,682|28,097,551|28,074,694
|固定资产|(11),十五(6)|10,302,628,630|10,222,034,465|2,207,215,759|2,075,232,310
|在建工程|(12)|339,805,369|178,993,842|29,042,168|29,888,393
|使用权资产|(13)|168,329,047|66,970,435|33,604,316|29,566,778
|无形资产|(14),十五(7)|2,503,842,988|2,558,572,455|495,947,407|507,006,725
|商誉|(15)|1,307,103,982|1,307,103,982|-|-
|长期待摊费用|(16)|86,258,334|35,255,388|4,265,112|3,897,707
|递延所得税资产|(17)|1,718,307,625|1,455,035,532|1,044,203,455|885,429,696
|其他非流动资产|(19)|57,672,911|72,852,914|20,751,654|31,543,686
|非流动资产合计||16,886,066,157|16,310,565,497|14,641,286,813|14,206,494,847
|资产总计||41,514,185,835|37,312,383,547|26,072,634,076|24,067,766,819
page|91
负  债  及  股  东  权  益||||
|(除另注外) 合并|合并|公司|公司
流动负债||||
短期借款|(20)   703,273,054|270,906,631|-|-
应付票据|(21)   149,491,592|220,825,323|118,344,729|119,897,333
应付账款|(22)     2,222,601,042|2,167,178,181|2,945,975,684|2,454,746,492
合同负债|(23) 6,567,320,256|5,970,644,849|4,816,661,431|4,221,446,260
应付职工薪酬|(24) 1,906,199,446|1,458,665,786|630,441,397|531,653,920
应交税费|(25) 548,026,847|513,058,160|82,987,488|99,681,934
其他应付款|(26)     3,074,878,208|2,424,857,501|1,389,865,972|1,011,094,365
一年内到期的非流动负债|(27) 42,089,297|22,208,025|12,694,927|9,183,992
其他流动负债|(23) 296,065,856|305,436,538|255,389,916|251,218,368
流动负债合计|15,509,945,598|13,353,780,994  10,252,361,544||8,698,922,664
非流动负债||||
长期借款|(28) -|209,180|-|-
租赁负债|(29) 115,839,869|37,471,885|17,840,026|17,127,751
长期应付款|(30) 462,046,060|372,579,660|-|-
递延收益|(31) 2,899,626,024|2,519,926,935|399,473,516|425,786,239
长期应付职工薪酬|(32)     991,111,582|931,008,557|543,156,836|425,765,776
递延所得税负债|(17)     167,564,536|184,035,480|-|-
非流动负债合计|4,636,188,071|4,045,231,697|960,470,378|868,679,766
负债合计|20,146,133,669|17,399,012,691  11,212,831,922||9,567,602,430
股东权益||||
股本|(33)   1,364,182,795|1,350,982,795|1,364,182,795|1,350,982,795
资本公积|(34),十五(9) 3,675,291,623|3,444,317,455|4,710,298,947|4,306,633,811
减：库存股|(35)   (279,576,000)|-|(279,576,000)|-
其他综合收益|(36),十五(10) (19,851,339)|(47,347,633)|(30,438,000)|(47,445,000)
盈余公积|(37)   1,400,704,380|1,400,704,380|1,400,704,380|1,400,704,380
一般风险准备|(38) 260,344,554|234,715,680|-|-
未分配利润|(39),十五(11)  14,220,864,502|12,788,210,357|7,694,630,032|7,489,288,403
归属于母公司股东权益合计|20,621,960,515|19,171,583,034  14,859,802,154||14,500,164,389
少数股东权益|746,091,651|741,787,822|—|—
股东权益合计|21,368,052,166|19,913,370,856  14,859,802,154||14,500,164,389
负债及股东权益总计|41,514,185,835|37,312,383,547  26,072,634,076||24,067,766,819
