page|78
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,440,060,734.19|11,387,228,615.89
客户存款和同业存放款项净增加额|||269,429,611.07
向中央银行借款净增加额|||
存放中央银行和同业款项净减少额||9,647,082.12|
客户贷款及垫款净减少额|||281,871,394.43
向其他金融机构拆入资金净增加额|||
page|79
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||109,671,999.09|68,002,052.23
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||216,870,964.47|365,382,940.25
收到其他与经营活动有关的现金||558,791,246.25|863,996,841.35
经营活动现金流入小计||12,335,042,026.12|13,235,911,455.22
购买商品、接受劳务支付的现金||5,553,181,031.67|6,702,426,219.54
客户贷款及垫款净增加额||68,314,197.23|
客户存款和同业存放款项净减少额||312,846,588.80|
存放中央银行和同业款项净增加额|||194,114,664.95
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||23,318,818.92|12,645,635.00
支付保单红利的现金|||
支付给职工及为职工支付的现金||989,174,260.14|835,932,180.37
支付的各项税费||1,277,509,320.72|608,190,907.03
支付其他与经营活动有关的现金||577,261,406.01|698,297,505.57
经营活动现金流出小计||8,801,605,623.49|9,051,607,112.46
经营活动产生的现金流量净额||3,533,436,402.63|4,184,304,342.76
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,056,351,206.10|458,567.29
取得投资收益收到的现金||87,543,277.27|35,932,183.00
处置固定资产、无形资产和其他长期资产收回的现金净额||736,140.62|1,563,039.41
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||25,122,538.58|730,431,255.75
投资活动现金流入小计||5,169,753,162.57|768,385,045.45
购建固定资产、无形资产和其他长期资产支付的现金||98,255,705.89|198,129,970.69
投资支付的现金||6,661,200,000.00|283,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,200,000.00|649,046,305.65
投资活动现金流出小计||6,760,655,705.89|1,130,176,276.34
投资活动产生的现金流量净额||-1,590,902,543.32|-361,791,230.89
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||9,252,595,499.30|12,622,323,760.90
发行债券收到的现金||600,000,000.00|
收到其他与筹资活动有关的现金|||
page|80
筹资活动现金流入小计||9,852,595,499.30|12,622,323,760.90
偿还债务支付的现金||9,476,851,422.00|11,295,590,265.70
发生筹资费用所支付的现金||6,600,000.00|
分配股利、利润或偿付利息支付的现金||872,228,843.13|920,179,641.04
其中：子公司支付给少数股东的股利、利润||41,293,330.09|62,120,734.04
支付其他与筹资活动有关的现金||68,682,828.69|64,616,307.65
筹资活动现金流出小计||10,424,363,093.82|12,280,386,214.39
筹资活动产生的现金流量净额||-571,767,594.52|341,937,546.51
四、汇率变动对现金及现金等价物的影响||213,909.61|-4,948,924.63
五、现金及现金等价物净增加额||1,370,980,174.40|4,159,501,733.75
加：期初现金及现金等价物余额||5,820,809,847.18|1,661,308,113.43
六、期末现金及现金等价物余额||7,191,790,021.58|5,820,809,847.18
