page|75
项目|附注七|2021 年度|2020 年度
一、营业总收入|（61）|1,706,643,165.69|963,003,026.98
其中：营业收入||1,706,643,165.69|963,003,026.98
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|（61）|1,270,809,566.35|778,274,993.45
其中：营业成本||1,079,865,791.98|659,061,409.53
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（62）|7,341,125.25|3,252,114.29
销售费用|（63）|24,380,589.13|14,915,192.15
管理费用|（64）|51,539,439.42|25,310,947.80
研发费用|（65）|110,169,292.42|77,066,564.96
财务费用|（66）|-2,486,671.85|-1,331,235.28
其中：利息费用||3,414,114.75|776,608.82
利息收入||6,685,185.30|1,623,553.80
加：其他收益|（67）|16,086,488.88|15,893,539.33
投资收益（损失以“－”号填列）|（68）|3,522,391.99|5,612,478.26
其中：对联营企业和合营企业|||
page|76
的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（70）|1,060,570.05|962,545.47
信用减值损失（损失以“-”号填列）|（71）|-4,241,088.49|-2,118,798.98
资产减值损失（损失以“-”号填列）|（72）|-1,315,270.29|-256,068.02
资产处置收益（损失以“－”号填列）|（73）|-259,356.28|-39,178.79
三、营业利润（亏损以“－”号填列）||450,687,335.20|204,782,550.80
加：营业外收入|（74）|5,053,905.74|4,027,694.18
减：营业外支出|（75）|1,778,438.91|51,457.53
四、利润总额（亏损总额以“－”号填列）||453,962,802.03|208,758,787.45
减：所得税费用|（76）|54,558,718.23|27,730,806.05
五、净利润（净亏损以“－”号填列）||399,404,083.80|181,027,981.40
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||399,404,083.80|181,027,981.40
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||398,382,971.15|180,682,635.94
2.少数股东损益（净亏损以“-”号填列）||1,021,112.65|345,345.46
六、其他综合收益的税后净额|（77）|698,282.09|-350,559.98
（一）归属母公司所有者的其他综合收益的税后净额||488,797.46|-245,391.98
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||488,797.46|-245,391.98
（1）权益法下可转损益的其他综合收益|||
page|77
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||488,797.46|-245,391.98
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||209,484.63|-105,168.00
七、综合收益总额||400,102,365.89|180,677,421.42
（一）归属于母公司所有者的综合收益总额||398,871,768.61|180,437,243.96
（二）归属于少数股东的综合收益总额||1,230,597.28|240,177.46
八、每股收益：|||
（一）基本每股收益(元/股)||2.48|1.15
（二）稀释每股收益(元/股)||2.47|1.15
