page|84
项目|附注|2019年度|2018年度(重述后，附注二(50))
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||123,990,760|105,467,215
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||492,627|231,838
收到其他与经营活动有关的现金|四(82)|9,848,249|8,399,773
经营活动现金流入小计||134,331,636|114,098,826
购买商品、接受劳务支付的现金||100,422,729|86,527,116
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
page|85
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||9,533,664|8,693,680
支付的各项税费||5,191,739|4,703,077
支付其他与经营活动有关的现金|四(82)|8,678,366|8,368,368
经营活动现金流出小计||123,826,498|108,292,241
经营活动产生的现金流量净额||10,505,138|5,806,585
二、投资活动产生的现金流量：|||
收回投资收到的现金||9,647,886|9,883,394
取得子公司及其他营业单位收到的现金净额|四(83)|1,298,820|
取得投资收益收到的现金||1,252,921|1,043,244
处置固定资产、无形资产和其他长期资产收回的现金净额||2,383,194|374,156
处置子公司及其他营业单位收到的现金净额|四(83)|176,103|229,384
收到其他与投资活动有关的现金|四(82)||3,569,249
投资活动现金流入小计||14,758,924|15,099,427
购建固定资产、无形资产和其他长期资产支付的现金||6,845,436|3,470,050
投资支付的现金||18,066,047|14,612,609
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|四(83)||1,429,533
支付其他与投资活动有关的现金|四(82)|2,123,502|2,177,279
投资活动现金流出小计||27,034,985|21,689,471
投资活动产生的现金流量净额||-12,276,061|-6,590,044
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||10,474,395|195,836
其中：子公司吸收少数股东投资收到的现金||10,069,654|195,836
取得借款收到的现金||34,916,294|24,784,874
发行债券所收到的现金|||2,472,500
收到其他与筹资活动有关的现金|四(82)|1,578,600|
筹资活动现金流入小计||46,969,289|27,453,210
偿还债务支付的现金||30,464,697|12,166,278
偿还债券所支付的现金|||1,600,000
分配股利、利润或偿付利息支付的现金||3,703,450|3,614,288
其中：子公司支付给少数股东的股利、利润||1,254,997|1,352,780
支付其他与筹资活动有关的现金|四(82)|517,936|
筹资活动现金流出小计||34,686,083|17,380,566
筹资活动产生的现金流量净额||12,283,206|10,072,644
四、汇率变动对现金及现金等价物的影响||77,049|83,888
五、现金及现金等价物净增加额||10,589,332|9,373,073
加：期初现金及现金等价物余额||31,842,144|22,469,071
六、期末现金及现金等价物余额||42,431,476|31,842,144
