page|81
项目|附注|2019 年度|2018 年度(重述后，附注二(50))
一、营业总收入||127,508,964|101,157,525
其中：营业收入|四(64)|126,647,718|100,158,557
利息收入||859,042|997,322
已赚保费|||
手续费及佣金收入||2,204|1,646
二、营业总成本||121,170,788|95,526,814
其中：营业成本|四(64)|103,272,800|80,093,068
利息支出||82,932|62,190
手续费及佣金支出||798|445
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|四(65)|520,673|519,993
销售费用|四(66)|3,543,208|3,511,562
管理费用|四(67)|8,191,745|6,498,412
page|82
研发费用|四(68)|4,088,473|3,720,428
财务费用|四(69)|1,470,159|1,120,716
其中：利息费用||1,704,659|1,153,456
利息收入||392,022|213,893
加：其他收益|四(74)|1,177,948|1,085,081
投资收益（损失以“－”号填列）|四(75)|429,780|1,003,941
其中：对联营企业和合营企业的投资收益||759,329|666,146
以摊余成本计量的金融资产终止确认收益||-175,428|
汇兑收益（损失以“－”号填列）||8,881|13,693
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|四(76)|24,618|92,263
信用减值损失（损失以“-”号填列）|四(73)|-1,726,849|-355,736
资产减值损失（损失以“-”号填列）|四(72)|-1,176,456|-1,459,456
|资产处置收益（损失以“－”号填列）  四(77)|1,851,759|34,503
三、营业利润（亏损以“－”号填列）||6,927,857|6,045,000
加：营业外收入|四(78)|205,490|178,903
减：营业外支出|四(79)|41,576|68,416
四、利润总额（亏损总额以“－”号填列）||7,091,771|6,155,487
减：所得税费用|四(80)|1,279,161|676,865
五、净利润（净亏损以“－”号填列）||5,812,610|5,478,622
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）|||
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,501,037|3,016,525
2.少数股东损益（净亏损以“-”号填列）||2,311,573|2,462,097
六、其他综合收益的税后净额||56,094|-145,916
（一）归属母公司所有者的其他综合收益的税后净额||96,981|-80,746
1．不能重分类进损益的其他综合收益||-6,267|341
（1）重新计量设定受益计划变动额||-6,267|341
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||103,248|-81,087
（1）权益法下可转损益的其他综合收益||-30,908|
（2）其他债权投资公允价值变动||16,400|-28,242
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
page|83
（7）现金流量套期储备（现金流量套期损益的有效部分）||1,436|-9,831
（8）外币财务报表折算差额||130,381|-22,512
（9）其他||-14,061|-20,502
其中：以公允价值计量且其变动计入其他综合收益的应收账款公允价值变动||-36,037|-40,764
应收款项融资信用减值准备||6,994|
境外净投资套期||14,982|20,262
（二）归属于少数股东的其他综合收益的税后净额||-40,887|-65,170
七、综合收益总额||5,868,704|5,332,706
（一）归属于母公司所有者的综合收益总额||3,598,018|2,935,779
（二）归属于少数股东的综合收益总额||2,270,686|2,396,927
八、每股收益：|||
（一）基本每股收益(元/股)|四(81)|0.23|0.20
（二）稀释每股收益(元/股)||0.23|0.20
