page|77
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日(重述后，附注二(50))
流动资产：|||
货币资金|四(1)|21,460,942|19,484,751
结算备付金||12,853|
拆出资金|四(2)|33,339,823|22,991,054
交易性金融资产|四(3)|6,964,752|4,419,450
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产||2,381|788
应收票据|四(5)|6,221,789|5,485,044
应收账款|四(6)|29,337,049|18,840,593
应收款项融资|四(7)|5,440,954|3,329,753
预付款项|四(8)|18,764,416|11,866,953
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|四(9)|4,254,254|4,882,775
其中：应收利息||100,396|93,971
应收股利||82,189|270,287
买入返售金融资产|四(10)|30,800|2,308,712
存货|四(11)|27,004,499|27,929,297
合同资产|四(12)|24,984,702|12,229,782
持有待售资产|四(13)|9,788|
一年内到期的非流动资产|四(14)|3,827,810|4,191,526
其他流动资产|四(15)|17,544,133|13,767,469
流动资产合计||199,200,945|151,727,947
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|四(18)|61,729|261,372
持有至到期投资|||
长期应收款|四(17)|7,223,030|5,196,141
长期股权投资|四(19)|15,118,771|13,563,435
其他权益工具投资|||
其他非流动金融资产|四(21)|5,432,302|5,360,846
投资性房地产|四(22)|1,134,391|814,069
固定资产|四(23)|16,715,637|14,333,184
在建工程|四(24)|7,323,700|1,845,890
生产性生物资产|||
油气资产|||
page|78
使用权资产|四(27)|952,099|
无形资产|四(28)|7,864,479|8,672,893
开发支出|四(28)|170,388|131,790
商誉|四(29)|3,641,102|3,398,942
长期待摊费用|四(30)|346,346|278,844
递延所得税资产|四(31)|5,771,190|4,801,223
其他非流动资产|四(32)|9,567,480|8,135,289
非流动资产合计||81,322,644|66,793,918
资产总计||280,523,589|218,521,865
流动负债：|||
短期借款|四(34)|16,733,944|8,585,556
向中央银行借款|||
拆入资金|||
交易性金融负债|四(35)|33,097|104,540
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债||6,096|5,168
应付票据|四(37)|8,506,993|6,387,498
应付账款|四(38)|57,922,655|38,880,814
预收款项|四(39)|535,048|346,506
合同负债|四(40)|38,584,900|36,566,071
卖出回购金融资产款||4,050|
吸收存款及同业存放|四(41)|7,208,955|4,431,761
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|四(42)|3,640,260|3,073,735
应交税费|四(43)|3,272,191|2,691,527
其他应付款|四(44)|8,801,884|7,110,963
其中：应付利息||293,000|138,946
应付股利||217,257|304,585
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|四(46)|10,333,765|3,646,903
其他流动负债|四(47)|8,477,304|7,792,226
流动负债合计||164,061,142|119,623,268
非流动负债：|||
保险合同准备金|||
长期借款|四(48)|11,268,418|9,588,836
应付债券|四(49)|6,917,727|12,749,245
其中：优先股|||
永续债|||
租赁负债|四(50)|734,513|
长期应付款|四(51)|1,716,378|856,468
长期应付职工薪酬|四(54)|258,445|245,674
预计负债|四(52)|1,436,031|156,328
递延收益|四(53)|1,631,710|1,004,508
递延所得税负债|四(31)|900,890|628,895
page|79
其他非流动负债|四(55)|9,163|32,023
非流动负债合计||24,873,275|25,261,977
负债合计||188,934,417|144,885,245
所有者权益（或股东权益）：|||
实收资本（或股本）|四(56)|15,152,463|14,725,188
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|四(58)|19,975,915|16,556,807
减：库存股||404,741|
其他综合收益|四(60)|-35,587|-132,568
专项储备||130,235|129,836
盈余公积|四(62)|5,720,695|5,244,100
一般风险准备|||
未分配利润|四(63)|22,806,876|20,766,833
归属于母公司所有者权益（或股东权益）合计||63,345,856|57,290,196
少数股东权益||28,243,316|16,346,424
所有者权益（或股东权益）合计||91,589,172|73,636,620
负债和所有者权益（或股东权益）总计||280,523,589|218,521,865
