page|92
项目|附注|本期金额||上期金额|
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
销售商品、提供劳务收到的现金||99,453,382,562.99|476,655,310.28|88,980,320,415.29|554,789,548.19
收到的税费返还||-|-|-|-
收到其他与经营活动有关的现金|五、62|45,215,664,561.33|18,716,496,237.36|40,334,579,375.54|31,930,978,493.60
经营活动现金流入小计||144,669,047,124.32|19,193,151,547.64|129,314,899,790.83|32,485,768,041.79
购买商品、接受劳务支付的现金||61,698,826,829.99|-|74,325,177,698.98|-
支付给职工以及为职工支付的现金||8,025,809,400.22|70,929,546.35|7,588,057,987.35|114,646,095.24
支付的各项税费||6,862,574,489.57|35,296,837.02|6,621,686,266.34|11,379,558.88
支付其他与经营活动有关的现金|五、62|51,309,855,934.20|8,665,973,208.56|32,312,529,002.92|25,463,624,198.00
经营活动现金流出小计||127,897,066,653.98|8,772,199,591.93|120,847,450,955.59|25,589,649,852.12
经营活动产生的现金流量净额||16,771,980,470.34|10,420,951,955.71|8,467,448,835.24|6,896,118,189.67
二、投资活动产生的现金流量：|||||
收回投资收到的现金||5,331,273,044.97|-|1,635,538,700.56|1,250,000,000.00
取得投资收益收到的现金||427,670,380.26|149,770,329.19|1,748,866,909.99|261,378,423.64
处置固定资产、无形资产和其他长期资产收回的现金净额||25,316,883.54|-|31,224,058.24|-
处置子公司及其他营业单位收到的现金净额||164,664,237.09|-|582,681,984.05|250,713,695.55
收到其他与投资活动有关的现金||-||-|
投资活动现金流入小计||5,948,924,545.86|149,770,329.19|3,998,311,652.84|1,762,092,119.19
购建固定资产、无形资产和其他长期资产支付的现金||3,927,248,285.47|11,253,862.26|5,195,887,690.62|8,826,939.52
投资支付的现金||4,902,495,515.05|76,528,817.21|12,711,932,130.03|1,018,626,501.03
取得子公司及其他营业单位支付的现金净额||-||-|
支付其他与投资活动有关的现金||104,647,088.25||-|
投资活动现金流出小计||8,934,390,888.77|87,782,679.47|17,907,819,820.65|1,027,453,440.55
投资活动产生的现金流量净额||-2,985,466,342.91|61,987,649.72|-13,909,508,167.81|734,638,678.64
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||1,021,755,564.19|78,100,482.12|13,769,757,832.27|567,563,630.87
其中：子公司吸收少数股东投资收到的现金||943,655,082.07||13,202,194,201.40|
取得借款收到的现金||37,358,095,255.38|2,252,635,101.54|55,974,056,555.28|7,324,604,668.65
发行债券收到的现金||3,877,489,433.60|2,000,000,000.00|12,194,724,700.00|8,800,000,000.00
收到其他与筹资活动有关的现金|五、62|3,124,786,302.40|-|3,208,906,857.20|-
筹资活动现金流入小计||45,382,126,555.57|4,330,735,583.66|85,147,445,944.75|16,692,168,299.52
偿还债务支付的现金||59,040,081,734.46|12,955,427,400.00|59,282,274,128.99|17,796,030,000.00
分配股利、利润或偿付利息支付的现金||7,820,644,217.66|4,454,674,931.55|7,921,113,704.69|4,257,896,617.92
其中：子公司支付少数股东的股利、利润||15,170,225.50||15,419,852.04|
支付其他与筹资活动有关的现金|五、62|2,191,618,553.56|22,898,833.27|4,227,249,547.38|176,804,588.84
筹资活动现金流出小计||69,052,344,505.68|17,433,001,164.82|71,430,637,381.06|22,230,731,206.76
page|93
筹资活动产生的现金流量净额||-23,670,217,950.11|-13,102,265,581.16|13,716,808,563.69|-5,538,562,907.24
四、汇率变动对现金及现金等价物的影响||3,707,203.22||-28,331,303.64|
五、现金及现金等价物净增加额||-9,879,996,619.46|-2,619,325,975.73|8,246,417,927.48|2,092,193,961.07
加：期初现金及现金等价物余额||24,414,712,204.69|3,158,327,652.53|16,168,294,277.21|1,066,133,691.46
六、期末现金及现金等价物余额||14,534,715,585.23|539,001,676.80|24,414,712,204.69|3,158,327,652.53
