page|61
项目|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|（一）|78,466,377,542.86|66,093,788,808.80
结算备付金|||
拆出资金|||
交易性金融资产|（二）|2,634,031,074.66|3,152,499,005.64
衍生金融资产|||
应收票据|（三）|844,560,853.34|992,645,290.83
应收账款|（四）|44,187,510,101.16|36,382,708,474.79
应收款项融资|（五）|5,208,463,581.36|5,116,834,432.35
预付款项|（六）|2,547,946,558.06|2,609,985,958.70
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（七）|6,946,573,201.09|5,102,371,191.66
其中：应收利息|||87,185,010.47
应收股利||7,379,185.36|10,286,720.03
买入返售金融资产|||
存货|（八）|71,171,702,665.48|88,042,901,462.95
其中：已完工尚未结算款|||44,584,658,091.77
合同资产|（九）|38,907,929,592.58|
持有待售资产|||
一年内到期的非流动资产|（十）|1,412,712,280.97|1,069,584,919.54
其他流动资产|（十一）|3,528,719,842.13|2,672,010,768.48
page|62
流动资产合计||255,856,527,293.69|211,235,330,313.74
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|（十二）|14,029,622,542.28|21,917,628,153.86
长期股权投资|（十三）|5,668,773,930.52|4,535,182,233.21
其他权益工具投资|（十四）|682,259,037.41|764,007,075.93
其他非流动金融资产|（十五）|3,095,849,556.52|1,857,439,448.52
投资性房地产|（十六）|5,908,503,416.62|4,969,343,961.23
固定资产|（十七）|8,102,922,128.89|7,734,039,382.43
在建工程|（十八）|718,450,768.50|484,838,908.75
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（十九）|3,041,990,174.45|2,132,311,762.17
开发支出|||
商誉|（二十）|570,255,405.77|114,133,452.08
长期待摊费用|（二十一）|523,843,058.86|338,060,116.44
递延所得税资产|（二十二）|1,088,658,109.69|809,000,233.14
其他非流动资产|（二十三）|22,069,078,127.89|389,581,467.60
非流动资产合计||65,500,206,257.40|46,045,566,195.36
资产总计||321,356,733,551.09|257,280,896,509.10
流动负债：|||
短期借款|（二十四）|9,686,608,793.49|5,821,804,016.21
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|（二十五）|11,870,782,144.18|11,131,206,593.91
应付账款|（二十六）|124,425,316,865.01|76,541,684,887.28
预收款项|（二十七）|25,675,592.26|56,141,342,203.04
其中：已结算尚未完工款|||45,447,289,088.80
合同负债|（二十八）|33,604,335,962.05|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（二十九）|1,374,679,936.05|830,501,601.75
应交税费|（三十）|4,714,386,355.48|3,954,255,488.92
其他应付款|（三十一）|15,544,005,646.92|12,121,558,314.82
其中：应付利息|||223,679,985.67
应付股利||11,403,775.36|3,649,372.24
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（三十二）|18,039,510,454.41|7,991,541,778.41
其他流动负债|（三十三）|862,982,063.20|188,535,677.61
page|63
流动负债合计||220,148,283,813.05|174,722,430,561.95
非流动负债：|||
保险合同准备金|||
长期借款|（三十四）|47,081,681,791.36|44,189,370,794.24
应付债券|（三十五）|6,385,005,454.97|96,984,000.00
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|（三十六）|2,455,682,031.23|1,140,089,000.80
长期应付职工薪酬|（三十七）|289,444,116.00|296,488,097.00
预计负债|（三十八）|13,096,936.42|6,002,194.11
递延收益|（三十九）|165,922,638.94|173,018,009.04
递延所得税负债|（二十二）|868,892,192.66|429,763,249.68
其他非流动负债|（四十）|50,231,681.65|53,705,996.65
非流动负债合计||57,309,956,843.23|46,385,421,341.52
负债合计||277,458,240,656.28|221,107,851,903.47
所有者权益（或股东权益）：|||
实收资本（或股本）|（四十一）|8,904,397,728.00|8,904,397,728.00
其他权益工具|（四十二）|8,690,000,000.00|6,500,000,000.00
其中：优先股|||
永续债||8,690,000,000.00|6,500,000,000.00
资本公积|（四十三）|2,208,850,005.41|2,200,006,546.37
减：库存股|（四十四）|63,704,768.29|55,121,123.98
其他综合收益|（四十五）|-159,514,148.62|-85,530,145.70
专项储备|（四十六）|6,761,132.95|2,384,562.98
盈余公积|（四十七）|1,896,263,993.70|1,513,091,171.63
一般风险准备|||
未分配利润|（四十八）|15,197,438,705.84|14,074,908,867.70
归属于母公司所有者权益（或股东权益）合计||36,680,492,648.99|33,054,137,607.00
少数股东权益||7,218,000,245.82|3,118,906,998.63
所有者权益（或股东权益）合计||43,898,492,894.81|36,173,044,605.63
负债和所有者权益（或股东权益）总计||321,356,733,551.09|257,280,896,509.10
