page|65
项目|附注五|2020 年度|2019 年度
一、营业总收入||231,327,232,008.89|205,496,707,808.35
其中：营业收入|（四十九）|231,327,232,008.89|205,496,707,808.35
利息收入|||
已赚保费|||
手续费及佣金收入|||
page|66
二、营业总成本||226,414,091,643.34|200,419,181,866.34
其中：营业成本|（四十九）|208,950,708,151.71|184,357,931,024.01
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（五十）|810,149,857.89|1,853,286,205.79
销售费用|（五十一）|712,042,721.52|678,938,451.35
管理费用|（五十二）|5,947,554,185.11|5,609,792,081.53
研发费用|（五十三）|8,114,047,327.65|6,219,718,567.98
财务费用|（五十四）|1,879,589,399.46|1,699,515,535.68
其中：利息费用||2,311,100,848.54|2,100,898,202.94
利息收入||634,430,434.57|551,420,819.24
加：其他收益|（五十五）|158,608,691.57|96,396,818.81
投资收益（损失以“－”号填列）||358,631,409.96|248,043,837.24
其中：对联营企业和合营企业的投资收益||34,957,712.07|84,858,065.29
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||390,455,957.37|869,049,911.02
信用减值损失（损失以“-”号填列）||-1,209,705,574.57|-922,808,234.94
资产减值损失（损失以“-”号填列）||-539,565,887.41|-1,923,695.01
资产处置收益（损失以“－”号填列）||20,891,691.31|27,338,175.05
三、营业利润（亏损以“－”号填列）||4,092,456,653.78|5,393,622,754.18
加：营业外收入||377,913,812.66|318,139,572.37
减：营业外支出||56,640,138.83|28,301,095.66
四、利润总额（亏损总额以“－”号填列）||4,413,730,327.61|5,683,461,230.89
减：所得税费用||1,191,420,721.67|1,371,213,950.69
五、净利润（净亏损以“－”号填列）||3,222,309,605.94|4,312,247,280.20
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||3,222,309,605.94|4,312,247,280.20
2.终止经营净利润（净亏损以“－”号填列）|||
page|67
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,350,849,267.70|3,930,207,378.11
2.少数股东损益（净亏损以“-”号填列）||-128,539,661.76|382,039,902.09
六、其他综合收益的税后净额||-96,603,907.00|-69,333,286.28
（一）归属母公司所有者的其他综合收益的税后净额||-73,984,002.92|-65,920,988.36
1．不能重分类进损益的其他综合收益||-67,207,987.97|-49,644,863.11
（1）重新计量设定受益计划变动额||-11,893,235.20|1,407,355.13
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-55,314,752.77|-51,052,218.24
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-6,776,014.95|-16,276,125.25
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-6,776,014.95|-16,276,125.25
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-22,619,904.08|-3,412,297.92
七、综合收益总额||3,125,705,698.94|4,242,913,993.92
（一）归属于母公司所有者的综合收益总额||3,276,865,264.78|3,864,286,389.75
（二）归属于少数股东的综合收益总额||-151,159,565.84|378,627,604.17
八、每股收益：|||
（一）基本每股收益(元/股)||0.34|0.41
（二）稀释每股收益(元/股)||0.34|0.41
