page|116
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||238,019,764.40|183,167,597.66
收到的税费返还|||647,615.21
收到其他与经营活动有关的现金|七、78（1）|19,298,752.13|14,820,422.49
经营活动现金流入小计||257,318,516.53|198,635,635.36
购买商品、接受劳务支付的现金||37,983,642.33|30,981,279.33
支付给职工及为职工支付的现金||45,157,836.20|37,470,092.96
支付的各项税费||26,834,481.79|21,805,632.05
支付其他与经营活动有关的现金|七、78（2）|44,053,011.36|50,550,289.30
经营活动现金流出小计||154,028,971.68|140,807,293.64
经营活动产生的现金流量净额||103,289,544.85|57,828,341.72
二、投资活动产生的现金流量：|||
收回投资收到的现金||324,442.12|
取得投资收益收到的现金||2,157,460.82|992,359.30
处置固定资产、无形资产和其他长期资产收回的现金净额||22,565.90|
page|117
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78（3）|434,000,000.00|303,850,000.00
投资活动现金流入小计||436,504,468.84|304,842,359.30
购建固定资产、无形资产和其他长期资产支付的现金||55,244,158.50|72,973,388.53
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78（4）|434,000,000.00|303,850,000.00
投资活动现金流出小计||489,244,158.50|376,823,388.53
投资活动产生的现金流量净额||-52,739,689.66|-71,981,029.23
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||224,603,400.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||3,997,388.00|9,209,083.63
收到其他与筹资活动有关的现金|七、78（5）||
筹资活动现金流入小计||228,600,788.00|9,209,083.63
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||30,650,174.30|330,620.35
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78（6）|15,463,885.30|13,055,758.55
筹资活动现金流出小计||46,114,059.60|13,386,378.90
筹资活动产生的现金流量净额||182,486,728.40|-4,177,295.27
四、汇率变动对现金及现金等价物的影响||-505,680.25|-913,031.70
五、现金及现金等价物净增加额||232,530,903.34|-19,243,014.48
page|118
加：期初现金及现金等价物余额||92,802,528.72|112,045,543.20
六、期末现金及现金等价物余额||325,333,432.06|92,802,528.72
