page|125
项目|附注五|2019 年度|2018 年度
一、营业总收入|（五十九）|12,344,599,978.60|13,633,677,574.90
其中：营业收入||12,344,599,978.60|13,633,677,574.90
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|（五十九）|11,301,276,431.59|12,289,044,929.83
其中：营业成本||9,431,037,554.81|10,377,307,846.77
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十）|75,059,179.96|111,838,694.76
销售费用|（六十一）|766,953,381.46|757,550,277.73
管理费用|（六十二）|907,983,319.61|925,531,375.68
研发费用|（六十三）|225,708,491.39|252,337,150.41
财务费用|（六十四）|-105,465,495.64|-135,520,415.52
其中：利息费用||48,140,316.21|78,005,468.68
page|126
利息收入||175,419,039.78|208,451,289.06
加：其他收益|（六十五）|168,035,028.46|235,555,654.82
投资收益（损失以“－”号填列）|（六十六）|2,183,953,930.35|1,667,541,728.97
其中：对联营企业和合营企业的投资收益||539,290,761.22|478,876,265.35
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（六十八）|25,045,550.87|-363,666.04
信用减值损失（损失以“-”号填列）|（六十九）|-165,471,609.38|
资产减值损失（损失以“-”号填列）|（七十）|-627,176,862.51|-494,674,336.99
资产处置收益（损失以“－”号填列）|（七十一）|2,301,382.79|-1,481,327.26
三、营业利润（亏损以“－”号填列）||2,630,010,967.59|2,751,210,698.57
加：营业外收入|（七十二）|9,691,528.42|13,499,568.99
减：营业外支出|（七十三）|50,585,708.58|237,640,253.66
四、利润总额（亏损总额以“－”号填列）||2,589,116,787.43|2,527,070,013.90
减：所得税费用|（七十四）|359,843,495.90|321,903,856.75
五、净利润（净亏损以“－”号填列）||2,229,273,291.53|2,205,166,157.15
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,229,273,291.53|2,205,166,157.15
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,043,059,594.60|2,015,424,004.55
2.少数股东损益（净亏损以“-”号填列）||186,213,696.93|189,742,152.60
六、其他综合收益的税后净额||-95,147,080.26|-363,899,591.15
（一）归属母公司所有者的其他综合收益的税后净额||-95,139,972.67|-363,900,887.77
1．不能重分类进损益的其他综合收益||-88,684,782.73|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-88,684,782.73|
（4）企业自身信用风险公允价值变动|||
page|127
2．将重分类进损益的其他综合收益||-6,455,189.94|-363,900,887.77
（1）权益法下可转损益的其他综合收益||-9,598,921.47|-1,719,279.25
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-366,418,919.19
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||3,143,731.53|4,237,310.67
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-7,107.59|1,296.62
七、综合收益总额||2,134,126,211.27|1,841,266,566.00
（一）归属于母公司所有者的综合收益总额||1,947,919,621.93|1,651,523,116.78
（二）归属于少数股东的综合收益总额||186,206,589.34|189,743,449.22
八、每股收益：|||
（一）基本每股收益(元/股)||0.5983|0.5903
（二）稀释每股收益(元/股)||0.5983|0.5903
