page|121
项目|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|（一）|8,358,247,049.87|8,242,819,018.12
结算备付金|||
拆出资金|||
交易性金融资产|（二）|9,163,074,688.45|
以公允价值计量且其变动计入当期损益的金融资产|||1,679,713.57
衍生金融资产|||
应收票据|（四）|29,899,322.70|167,764,503.74
应收账款|（五）|2,062,634,393.61|2,249,463,722.16
应收款项融资|||
预付款项|（七）|693,608,575.81|857,408,747.04
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|109,443,607.24|279,802,727.11
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|（九）|3,652,978,226.88|2,298,228,393.41
持有待售资产|||
一年内到期的非流动资产|（十一）|337,995,800.00|316,283,333.33
其他流动资产|（十二）|612,782,840.41|8,709,816,448.68
流动资产合计||25,020,664,504.97|23,123,266,607.16
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||1,262,016,705.98
其他债权投资|||
持有至到期投资|||
长期应收款|（十五）|26,133,308.60|
长期股权投资|（十六）|6,161,845,164.49|8,113,415,916.53
其他权益工具投资|（十七）|622,400,329.22|
其他非流动金融资产|（十八）|679,632,215.37|
投资性房地产|（十九）|147,664,457.31|662,944,407.04
固定资产|（二十）|8,521,329,496.67|2,506,134,217.02
在建工程|（二十一）|799,282,597.27|282,069,959.05
生产性生物资产|||
油气资产|||
使用权资产|||
page|122
无形资产|（二十五）|1,538,696,011.09|1,404,887,934.88
开发支出|（二十六）|10,488,578.25|
商誉|（二十七）|600,585,712.42|3,255,941.23
长期待摊费用|（二十八）|116,941,846.97|99,735,537.52
递延所得税资产|（二十九）|346,561,517.57|401,750,985.70
其他非流动资产|（三十）|100,000,000.00|100,000,000.00
非流动资产合计||19,671,561,235.23|14,836,211,604.95
资产总计||44,692,225,740.20|37,959,478,212.11
流动负债：|||
短期借款|（三十一）|209,870,155.42|1,651,878,958.34
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|（三十四）|64,588,504.31|251,323,308.15
应付账款|（三十五）|3,680,496,041.21|2,357,810,526.28
预收款项|（三十六）|2,928,221,531.15|916,614,647.52
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十七）|473,808,429.36|253,304,099.22
应交税费|（三十八）|262,415,854.61|547,604,399.34
其他应付款|（三十九）|1,462,869,501.81|1,149,701,691.53
其中：应付利息|||
应付股利|（三十九）|29,081,888.77|15,600,761.06
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十一）|24,925,987.95|
其他流动负债|（四十二）|49,906,089.69|63,955,208.26
流动负债合计||9,157,102,095.51|7,192,192,838.64
非流动负债：|||
保险合同准备金|||
长期借款|（四十三）|366,934,494.31|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|（四十六）|133,429,416.16|
长期应付职工薪酬|||
预计负债|（四十八）|19,224,461.97|10,800,000.00
递延收益|（四十九）|127,136,556.31|139,851,783.89
递延所得税负债|（二十九）|375,526,438.50|62,078,938.37
其他非流动负债|||
非流动负债合计||1,022,251,367.25|212,730,722.26
page|123
负债合计||10,179,353,462.76|7,404,923,560.90
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十一）|3,414,500,201.00|3,433,628,011.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（五十三）|11,184,519,692.82|11,376,676,116.66
减：库存股|||188,188,223.00
其他综合收益|（五十五）|-205,287,908.49|-196,670,486.24
专项储备|||
盈余公积|（五十七）|1,913,552,281.19|1,463,725,120.50
一般风险准备|||
未分配利润|（五十八）|12,886,581,138.52|12,363,687,087.78
归属于母公司所有者权益（或股东权益）合计||29,193,865,405.04|28,252,857,626.70
少数股东权益||5,319,006,872.40|2,301,697,024.51
所有者权益（或股东权益）合计||34,512,872,277.44|30,554,554,651.21
负债和所有者权益（或股东权益）总计||44,692,225,740.20|37,959,478,212.11
