page|129
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||15,133,133,956.36|16,231,918,994.72
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||77,292,169.34|119,101,827.58
收到其他与经营活动有关的现金|（七十五）|1,141,312,435.56|1,565,114,709.58
经营活动现金流入小计||16,351,738,561.26|17,916,135,531.88
购买商品、接受劳务支付的现金||9,255,764,485.49|10,896,318,461.03
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,620,575,152.96|1,440,125,648.00
支付的各项税费||1,083,982,900.46|1,101,146,309.15
支付其他与经营活动有关的现金|（七十五）|1,602,600,421.79|1,913,247,319.44
经营活动现金流出小计||13,562,922,960.70|15,350,837,737.62
经营活动产生的现金流量净额||2,788,815,600.56|2,565,297,794.26
二、投资活动产生的现金流量：|||
收回投资收到的现金||739,099,868.92|1,114,227,932.26
取得投资收益收到的现金||502,999,553.21|477,633,537.17
处置固定资产、无形资产和其他长期资产收回的现金净额||3,009,528.86|562,128.02
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七十五）|13,888,891,715.83|18,455,190,158.44
投资活动现金流入小计||15,134,000,666.82|20,047,613,755.89
购建固定资产、无形资产和其他长期资产支付的现金||1,690,090,388.33|1,117,462,560.48
投资支付的现金||62,442,770.00|1,043,643,650.00
质押贷款净增加额|||
取得子公司及其他营业单位支付||-568,840,923.74|10,501,173.15
page|130
的现金净额|||
支付其他与投资活动有关的现金|（七十五）|13,710,308,762.50|18,806,897,020.00
投资活动现金流出小计||14,894,000,997.09|20,978,504,403.63
投资活动产生的现金流量净额||239,999,669.73|-930,890,647.74
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||21,445,420.00|117,486,298.00
其中：子公司吸收少数股东投资收到的现金||10,000,000.00|117,486,298.00
取得借款收到的现金||285,680,175.98|1,850,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||307,125,595.98|1,967,486,298.00
偿还债务支付的现金||1,869,510,300.93|1,904,400,000.00
分配股利、利润或偿付利息支付的现金||1,080,958,398.13|1,211,249,603.56
其中：子公司支付给少数股东的股利、利润||45,433,416.23|219,244,285.54
支付其他与筹资活动有关的现金|（七十五）|262,478,390.93|5,800,000.00
筹资活动现金流出小计||3,212,947,089.99|3,121,449,603.56
筹资活动产生的现金流量净额||-2,905,821,494.01|-1,153,963,305.56
四、汇率变动对现金及现金等价物的影响||8,331,649.88|14,978,262.28
五、现金及现金等价物净增加额||131,325,426.16|495,422,103.24
加：期初现金及现金等价物余额||8,073,729,637.52|7,578,307,534.28
六、期末现金及现金等价物余额||8,205,055,063.68|8,073,729,637.52
