page|77
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||216,870,971.88|366,009,317.98
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||483,127.62|
收到其他与经营活动有关的现金||38,319,415.14|43,378,837.26
经营活动现金流入小计||255,673,514.64|409,388,155.24
购买商品、接受劳务支付的现金||124,176,190.89|286,509,023.22
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||72,544,330.34|90,467,801.19
支付的各项税费||32,234,312.20|38,334,675.12
支付其他与经营活动有关的现金||68,628,664.25|164,977,645.87
page|78
经营活动现金流出小计||297,583,497.68|580,289,145.40
经营活动产生的现金流量净额||-41,909,983.04|-170,900,990.16
二、投资活动产生的现金流量：|||
收回投资收到的现金||6,000,000.00|
取得投资收益收到的现金||10,633,520.00|
处置固定资产、无形资产和其他长期资产收回的现金净额||293,900.00|8,800.00
处置子公司及其他营业单位收到的现金净额|||647,947.71
收到其他与投资活动有关的现金|||
投资活动现金流入小计||16,927,420.00|656,747.71
购建固定资产、无形资产和其他长期资产支付的现金||9,279,727.71|34,644,362.35
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||685,200.12|
投资活动现金流出小计||9,964,927.83|34,644,362.35
投资活动产生的现金流量净额||6,962,492.17|-33,987,614.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||2,538,800.00
其中：子公司吸收少数股东投资收到的现金|||2,538,800.00
取得借款收到的现金|||472,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||474,538,800.00
偿还债务支付的现金||467,000,000.00|405,000,000.00
分配股利、利润或偿付利息支付的现金||5,450,308.32|36,487,154.17
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||472,450,308.32|441,487,154.17
筹资活动产生的现金流量净额||-472,450,308.32|33,051,645.83
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-507,397,799.19|-171,836,958.97
加：期初现金及现金等价物余额||597,679,945.05|769,516,904.02
六、期末现金及现金等价物余额||90,282,145.86|597,679,945.05
