page|86
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,492,561,081.29|2,339,155,195.25
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|七、4|1,012,028,872.22|463,861,208.38
应收账款|七、5|2,139,552,767.41|2,503,968,574.77
应收款项融资|七、6|268,814,118.43|101,673,986.36
预付款项|七、7|150,569,303.27|94,412,096.56
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|47,778,628.69|52,738,778.12
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|1,789,874,593.33|1,698,371,014.87
合同资产|七、10|736,845,729.20|889,962,335.31
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|5,279,313.96|11,904,387.43
流动资产合计||8,643,304,407.80|8,156,047,577.05
非流动资产：|||
发放贷款和垫款|||
债权投资|||
page|87
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|七、18|89,919,935.44|41,221,361.69
其他非流动金融资产|||
投资性房地产|七、20|2,190,387.65|2,358,878.93
固定资产|七、21|818,125,690.62|740,417,536.68
在建工程|七、22|306,936,770.53|191,692,573.82
生产性生物资产|||
油气资产|||
使用权资产|七、25|81,779,925.17|
无形资产|七、26|261,397,043.48|261,866,836.54
开发支出|||
商誉|七、28||
长期待摊费用|七、29|2,253,490.28|2,655,337.17
递延所得税资产|七、30|29,969,795.70|24,414,207.53
其他非流动资产|七、31|25,906,455.87|42,062,398.64
非流动资产合计||1,618,479,494.74|1,306,689,131.00
资产总计||10,261,783,902.54|9,462,736,708.05
流动负债：|||
短期借款|七、32|402,817,287.49|334,600,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|222,334,692.07|276,344,067.21
应付账款|七、36|1,122,651,215.13|979,894,113.75
预收款项|||
合同负债|七、38|214,097,416.72|288,632,821.35
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|34,921,967.95|41,258,284.54
应交税费|七、40|64,363,261.35|59,337,734.90
其他应付款|七、41|346,602,108.10|383,293,377.37
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|49,624,704.25|8,150,000.00
其他流动负债|七、44|16,738,100.04|15,315,539.27
流动负债合计||2,474,150,753.10|2,386,825,938.39
非流动负债：|||
保险合同准备金|||
长期借款|七、45|208,017,000.00|154,351,475.20
应付债券|||
page|88
其中：优先股|||
永续债|||
租赁负债|七、47|39,967,279.03|
长期应付款|||
长期应付职工薪酬|七、49|58,280,000.00|59,500,000.00
预计负债|七、50|9,770,322.81|5,551,042.52
递延收益|七、51|29,747,708.54|27,521,863.22
递延所得税负债|||
其他非流动负债|||
非流动负债合计||345,782,310.38|246,924,380.94
负债合计||2,819,933,063.48|2,633,750,319.33
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|710,629,386.00|710,629,386.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|3,012,117,582.80|3,008,477,582.80
减：库存股|||
其他综合收益|七、57|-18,538,972.02|-3,554,345.77
专项储备|七、58||
盈余公积|七、59|56,697,524.69|50,480,358.65
一般风险准备|||
未分配利润|七、60|3,680,945,317.59|3,062,953,407.04
归属于母公司所有者权益（或股东权益）合计||7,441,850,839.06|6,828,986,388.72
少数股东权益|||
所有者权益（或股东权益）合计||7,441,850,839.06|6,828,986,388.72
负债和所有者权益（或股东权益）总计||10,261,783,902.54|9,462,736,708.05
