page|80
一、营业总收入|||1,744,979,518.01  1,645,001,121.19
其中：营业收入|七、61||1,744,979,518.01  1,645,001,121.19
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||1,674,266,387.53  1,675,049,178.00
其中：营业成本|七、61||1,430,555,617.53  1,415,222,178.41
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|14,109,177.50|10,768,262.82
销售费用|七、63|34,608,080.25|38,404,518.84
管理费用|七、64|97,394,552.94|130,045,545.45
研发费用|七、65|84,530,734.61|68,533,597.22
财务费用|七、66|13,068,224.70|12,075,075.26
其中：利息费用|七、66|11,200,106.95|15,329,994.19
利息收入|七、66|3,844,918.21|2,090,363.80
加：其他收益|七、67|22,040,650.49|12,882,704.46
投资收益（损失以“－”号填列）|七、68|8,375,704.52|23,130,991.77
其中：对联营企业和合营企业的投资收益||-5,351,109.82|-1,170,315.72
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|-5,131,279.18|-11,608,114.48
信用减值损失（损失以“-”号填列）|七、71|-63,730,873.47|-22,566,635.72
资产减值损失（损失以“-”号填列）|七、72|-8,121,554.31|-32,048,540.18
资产处置收益（损失以“－”号填列）|七、73|23,417,255.38|-6,320,584.97
三、营业利润（亏损以“－”号填列）||47,563,033.91|-66,578,235.93
加：营业外收入|七、74|13,122,574.75|4,875,437.44
page|81
减：营业外支出|七、75|13,002,230.99|9,458,739.90
四、利润总额（亏损总额以“－”号填列）||47,683,377.67|-71,161,538.39
减：所得税费用|七、76|-516,102.52|-6,770,067.22
五、净利润（净亏损以“－”号填列）||48,199,480.19|-64,391,471.17
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||48,187,032.98|-66,515,903.43
2.终止经营净利润（净亏损以“－”号填列）||12,447.21|2,124,432.26
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||49,142,739.18|-64,080,936.68
2.少数股东损益（净亏损以“-”号填列）||-943,258.99|-310,534.49
六、其他综合收益的税后净额||1,239,519.00|-6,511,159.00
（一）归属母公司所有者的其他综合收益的税后净额||1,239,519.00|-6,511,159.00
1．不能重分类进损益的其他综合收益||1,239,519.00|-6,511,159.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,239,519.00|-6,511,159.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综|||
page|82
合收益的税后净额|||
七、综合收益总额||49,438,999.19|-70,902,630.17
（一）归属于母公司所有者的综合收益总额||50,382,258.18|-70,592,095.68
（二）归属于少数股东的综合收益总额||-943,258.99|-310,534.49
八、每股收益：|||
（一）基本每股收益(元/股)||0.1206|-0.1520
（二）稀释每股收益(元/股)||0.1168|-0.1520
