page|169
项        目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||296,770,982|283,101,450|209,021,988|189,849,079
收到其他与经营活动有关的现金|四(65)(a)|3,720,348|3,308,653|29,036,030|13,340,144
经营活动现金流入小计||300,491,330|286,410,103|238,058,018|203,189,223
购买商品、接受劳务支付的现金||(271,358,699)|(259,970,711)|(190,941,832)|(178,786,288)
支付给职工以及为职工支付的现金||(16,804,626)|(11,745,364)|(1,412,059)|(1,300,801)
支付的各项税费||(5,942,814)|(4,517,304)|(585,864)|(455,582)
支付其他与经营活动有关的现金|四(65)(b)|(24,249,746)|(24,051,191)|(52,717,820)|(41,064,630)
经营活动现金流出小计||(318,355,885)|(300,284,570)|(245,657,575)|(221,607,301)
经营活动使用的现金流量净额|四(66)(a)|(17,864,555)|(13,874,467)|(7,599,557)|(18,418,078)
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||89,732,059|213,244,735|65,037,459|176,158,481
取得投资收益所收到的现金||3,640,102|11,938,644|857,330|825,033
处置固定资产、无形资产和其他长期资产收回的现金净额||131,774|36,184|2,287|2,135
处置子公司所(支付)/收到的现金净额|四(66)(b)|(3,728,075)|1,145,130|4,269,173|964,305
收到其他与投资活动有关的现金||-|131,449|-|-
投资活动现金流入小计||89,775,860|226,496,142|70,166,249|177,949,954
购建固定资产、无形资产和其他长期资产支付的现金||(9,164,260)|(7,431,661)|(304,266)|(222,936)
投资支付的现金||(97,179,888)|(221,922,830)|(64,132,272)|(176,592,200)
取得子公司支付的现金净额|四(66)(b)|(4,302,822)|(151,815)|(2,033,854)|-
投资活动现金流出小计||(110,646,970)|(229,506,306)|(66,470,392)|(176,815,136)
投资活动(使用)/产生的现金流量净额||(20,871,110)|(3,010,164)|3,695,857|1,134,818
|||||
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||10,546,305|5,304,244|-|-
其中：子公司吸收少数股东投资收到的现金||10,546,305|5,304,244|-|-
取得借款收到的现金||67,389,340|43,396,110|27,145,791|19,020,745
发行债券收到的现金||4,789,850|9,968,505|-|9,968,505
收到其他与筹资活动有关的现金|四(65)(c)|8,783,379|5,090,724|-|499,805
筹资活动现金流入小计||91,508,874|63,759,583|27,145,791|29,489,055
偿还债务支付的现金||(51,613,003)|(26,202,665)|(21,520,501)|(8,540,941)
分配股利、利润或偿付利息支付的现金||(2,989,531)|(2,017,294)|(2,743,296)|(1,778,252)
其中：子公司支付给少数股东的股利、利润||(14,266)|(1,718)|-|-
支付其他与筹资活动有关的现金|四(65)(d)|(10,705,101)|(13,005,549)|(1,308,725)|(1,000,000)
筹资活动现金流出小计||(65,307,635)|(41,225,508)|(25,572,522)|(11,319,193)
筹资活动产生的现金流量净额||26,201,239|22,534,075|1,573,269|18,169,862
|||||
四、汇率变动对现金及现金等价物的影响||233,483|1,016,399|19,844|54,716
|||||
五、现金及现金等价物净(减少)/增加额|四(66)(c)|(12,300,943)|6,665,843|(2,310,587)|941,318
加：年初现金及现金等价物余额|四(66)(c)|30,220,850|23,555,007|13,309,922|12,368,604
|||||
六、年末现金及现金等价物余额|四(66)(c)|17,919,907|30,220,850|10,999,335|13,309,922
