page|166
资        产|附注|2019 年 12 月 31 日 合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
流动资产|||||
货币资金|四(1)|33,902,215|48,041,523|15,993,595|18,434,139
发放贷款及垫款|四(2)|-|13,756,663|-|-
交易性金融资产|四(3)|11,970,008|—|7,817,143|—
以公允价值计量且其变动 计入当期损益的金融资产|四(4)|—|15,720,394|—|4,727,683
应收票据|四(5)、 十七(1)|4,660,366|1,265,543|7,445,608|3,620,062
应收账款|四(6)、 十七(2)|7,194,464|5,415,147|93,518,152|63,194,660
应收款项融资|四(7)|497,858|—|-|—
预付款项|四(8)|26,988,913|17,468,711|28,845,889|18,453,707
其他应收款|四(9)  、 十七(3)|1,601,848|2,874,535|23,356,245|26,518,947
存货|四(10)|26,780,104|22,263,294|18,125,245|16,135,771
一年内到期的非流动资产|四(9)|11,488|-|-|-
其他流动资产|四(11)|7,154,210|4,936,732|2,275,473|259,808
流动资产合计||120,761,474|131,742,542|197,377,350|151,344,777
|||||
非流动资产|||||
债权投资|四(12)|10,442|—|10,442|—
发放贷款及垫款|四(2)|-|4,548,598|-|-
可供出售金融资产|四(13)|—|6,937,380|—|5,536,818
持有至到期投资|四(14)|—|10,120|—|10,120
长期应收款|四(9)  、 十七(3)|947,264|901,770|969,335|953,536
长期股权投资|四(17)  、 十七(4)|40,258,417|17,674,550|46,128,979|38,897,605
其他权益工具投资|四(15)|4,598,371|—|4,553,304|—
其他非流动金融资产|四(16)|12,310,358|—|1,728,539|—
投资性房地产|四(18)|6,150,434|3,362,064|689,445|622,830
固定资产|四(19)|17,807,820|15,198,907|1,953,071|2,122,800
在建工程|四(20)|4,343,334|2,063,323|35,888|21,732
无形资产|四(21)|14,694,322|9,653,568|346,740|329,500
开发支出|四(21)|42,927|23,881|4,290|1,956
商誉|四(22)|7,477,796|2,411,552|-|-
长期待摊费用|四(23)|2,524,836|1,851,839|103,251|200,792
递延所得税资产|四(25)|4,130,170|2,965,661|-|393,414
其他非流动资产|四(24)|797,080|121,447|119,515|-
非流动资产合计||116,093,571|67,724,660|56,642,799|49,091,103
|||||
资产总计||236,855,045|199,467,202|254,020,149|200,435,880
page|167
负 债 及 股 东 权 益|附注|2019 年 12 月 31日 合并|2018 年 12 月 31日 合并|2019 年 12 月 31日 公司|2018 年 12 月 31日 公司
流动负债|||||
短期借款|四(27)|18,954,821|24,314,183|17,968,900|11,770,258
衍生金融负债||400|—|400|—
以公允价值计量且其变动计入当期损益的金融负债||—|3,817|—|352
