page|77
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,323,807,986.19|1,142,672,527.05
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||22,737,160.21|7,812,668.61
经营活动现金流入小计||1,346,545,146.40|1,150,485,195.66
购买商品、接受劳务支付的现金||1,143,666,442.84|906,586,085.89
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||88,676,765.95|72,200,079.65
page|78
支付的各项税费||66,159,274.98|56,832,881.44
支付其他与经营活动有关的现金||41,031,151.93|40,711,444.21
经营活动现金流出小计||1,339,533,635.70|1,076,330,491.19
经营活动产生的现金流量净额||7,011,510.70|74,154,704.47
二、投资活动产生的现金流量：|||
收回投资收到的现金|||970,196,241.45
取得投资收益收到的现金|||1,458,373.50
处置固定资产、无形资产和其他长期资产收回的现金净额||30,738.85|1,495.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||4,665,399.33|15,537,014.44
投资活动现金流入小计||4,696,138.18|987,193,124.39
购建固定资产、无形资产和其他长期资产支付的现金||22,123,722.41|8,108,710.88
投资支付的现金|||747,210,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||81,409,449.00
支付其他与投资活动有关的现金|||9,721,004.09
投资活动现金流出小计||22,123,722.41|846,449,163.97
投资活动产生的现金流量净额||-17,427,584.23|140,743,960.42
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||429,213,172.49|254,527,023.41
收到其他与筹资活动有关的现金|||8,605,351.26
筹资活动现金流入小计||429,213,172.49|263,132,374.67
偿还债务支付的现金||427,367,256.17|223,356,903.41
分配股利、利润或偿付利息支付的现金||79,654,088.59|46,195,423.85
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||11,801,192.37|12,829,637.15
筹资活动现金流出小计||518,822,537.13|282,381,964.41
筹资活动产生的现金流量净额||-89,609,364.64|-19,249,589.74
四、汇率变动对现金及现金等价物的影响||-2,439,368.26|-1,909,962.85
五、现金及现金等价物净增加额||-102,464,806.43|193,739,112.30
加：期初现金及现金等价物余额||238,151,087.22|44,411,974.92
六、期末现金及现金等价物余额||135,686,280.79|238,151,087.22
