page|73
项目|附 注|2021 年度|2020 年度
一、营业总收入||1,191,060,169.11|1,089,023,522.28
其中：营业收入||1,191,060,169.11|1,089,023,522.28
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,085,773,461.49|977,866,770.88
其中：营业成本||940,889,652.08|864,403,509.12
利息支出|||
page|74
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||3,705,039.14|2,792,132.23
销售费用||60,908,417.41|49,436,530.97
管理费用||79,718,966.29|63,158,215.86
研发费用|||
财务费用||551,386.57|-1,923,617.30
其中：利息费用||4,551,908.06|3,372,002.93
利息收入||4,665,399.33|4,541,700.35
加：其他收益||6,894,519.37|7,115,938.79
投资收益（损失以“－”号填列）|||1,458,373.50
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-1,256,731.61|-15,400,222.18
资产减值损失（损失以“-”号填列）||-1,064,894.53|-405,103.47
资产处置收益（损失以“－”号填列）||1,356.95|42,113.63
三、营业利润（亏损以“－”号填列）||109,860,957.80|103,967,851.67
加：营业外收入||4,907,700.72|696,729.82
减：营业外支出||5,253,167.30|6,098,140.58
四、利润总额（亏损总额以“－”号填列）||109,515,491.22|98,566,440.91
减：所得税费用||29,350,961.72|26,012,585.23
五、净利润（净亏损以“－”号填列）||80,164,529.50|72,553,855.68
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||80,164,529.50|72,553,855.68
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||80,230,457.52|72,553,855.68
page|75
2.少数股东损益（净亏损以“-”号填列）||-65,928.02|
六、其他综合收益的税后净额||-1,745,281.98|-4,811,798.02
（一）归属母公司所有者的其他综合收益的税后净额||-1,745,281.98|-4,811,798.02
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,745,281.98|-4,811,798.02
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,745,281.98|-4,811,798.02
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||78,419,247.52|67,742,057.66
（一）归属于母公司所有者的综合收益总额||78,485,175.54|67,742,057.66
（二）归属于少数股东的综合收益总额||-65,928.02|
八、每股收益：|||
（一）基本每股收益(元/股)||0.27|0.24
（二）稀释每股收益(元/股)||0.27|0.24
