page|60
项目|附注六|本期发生额|上期发生额
一、营业总收入||1,619,712,149.50|1,228,821,458.41
其中：营业收入|（三十四）|1,619,712,149.50|1,228,821,458.41
二、营业总成本||1,545,383,124.33|1,175,330,514.25
其中：营业成本|（三十四）|1,455,952,256.69|1,099,410,549.82
税金及附加|（三十五）|4,495,922.62|3,476,814.98
销售费用|（三十六）|49,137,585.30|48,709,503.22
管理费用|（三十七）|53,376,937.92|46,830,237.27
研发费用|||
财务费用|（三十八）|-17,579,578.20|-23,096,591.04
其中：利息费用||100,590.49|0.00
利息收入||20,324,417.79|24,712,835.38
加：其他收益|（三十九）|240,607.45|1,251,686.44
投资收益（损失以"-"填列）|（四十）|4,387,856.00|100,974,928.99
其中：对联营企业和合营企业的投资收益||-49,169,325.78|16,922,629.60
以摊余成本计量的金融资产终止确认收益|||
汇兑损益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
|公允价值变动收益（损失以"-"填列） （四十一）|4,466,585.56|-5,647,623.24
|信用减值损失（损失以“-”号填列） （四十二）|-237,077.97|179,200.06
资产减值损失（损失以“-”号填列）|||-
page|61
资产处置收益（损失以以"-"填列）|（四十三）|20,272,292.13|40,163.46
三、营业利润（亏损以“-”号填列）||103,459,288.34|150,289,299.87
加：营业外收入|（四十四）|297,248.43|1,202,551.23
减：营业外支出|（四十五）|34,982.13|230,308.24
四、利润总额（亏损总额以“-”号填列）||103,721,554.64|151,261,542.86
减：所得税费用|（四十六）|33,230,774.41|18,200,979.33
五、净利润（净亏损以“-”号填列）||70,490,780.23|133,060,563.53
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||70,490,780.23|133,060,563.53
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||67,704,378.87|130,053,676.60
2.少数股东损益（净亏损以“-”号填列）||2,786,401.36|3,006,886.93
六、其他综合收益的税后净额||-3,182,288.72|5,248,971.61
归属母公司所有者的其他综合收益的税后净额||-3,182,288.72|5,248,971.61
（一）不能重分类进损益的其他综合收益||-2,736,388.30|6,234,418.58
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动||-2,736,388.30|6,234,418.58
4.企业自身信用风险公允价值变动|||
5.其他|||
（二）将重分类进损益的其他综合收益||-445,900.42|-985,446.97
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额||-445,900.42|-985,446.97
7.其他|||
归属于少数股东的其他综合收益的税后净|||
page|62
额|||
七、综合收益总额||67,308,491.51|138,309,535.14
归属于母公司所有者的综合收益总额||64,522,090.15|135,302,648.21
归属于少数股东的综合收益总额||2,786,401.36|3,006,886.93
八、每股收益：|||
（一）基本每股收益||0.128|0.246
（二）稀释每股收益||0.128|0.246
