page|64
项 目|附注六|本期发生额|上期发生额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||1,799,844,244.16|1,374,510,212.32
收到的税费返还|||
收到其他与经营活动有关的现金|（四十七）|51,299,415.73|48,174,256.59
经营活动现金流入小计||1,851,143,659.89|1,422,684,468.91
购买商品、接受劳务支付的现金||1,706,253,220.65|1,234,098,148.12
支付给职工以及为职工支付的现金||71,543,805.64|69,632,689.72
支付的各项税费||56,521,077.34|41,945,675.67
支付其他与经营活动有关的现金|（四十七）|71,737,880.87|36,032,276.27
经营活动现金流出小计||1,906,055,984.50|1,381,708,789.78
经营活动产生的现金流量净额||-54,912,324.61|40,975,679.13
二、投资活动产生的现金流量|||
收回投资收到的现金||12,000,000.00|108,346,932.13
取得投资收益收到的现金||61,863,954.79|97,246,633.86
处置固定资产、无形资产和其他长期资产收回的现金净额||10,061,361.07|10,960,725.53
处置子公司及其他营业单位收到的现金净|||
额 收到其他与投资活动有关的现金|||
投资活动现金流入小计||83,925,315.86|216,554,291.52
购建固定资产、无形资产和其他长期资产支付的现金||3,071,897.73|7,629,342.39
投资支付的现金||171,795,405.16|5,280,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净|||
额 支付其他与投资活动有关的现金|（四十七）|1,436,583.42|1,362,095.04
投资活动现金流出小计||176,303,886.31|14,271,437.43
投资活动产生的现金流量净额||-92,378,570.45|202,282,854.09
三、筹资活动产生的现金流量|||
page|65
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现|||
金 取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||30,691,118.58|8,374,000.06
其中：子公司支付给少数股东的股利、利润||2,527,688.26|3,660,751.98
支付其他与筹资活动有关的现金|（四十七）|144,000.00|
筹资活动现金流出小计||30,835,118.58|8,374,000.06
筹资活动产生的现金流量净额||-30,835,118.58|-8,374,000.06
四、汇率变动对现金及现金等价物的影响||-445,846.79|-985,778.71
五、现金及现金等价物净增加额||-178,571,860.43|233,898,754.45
加：期初现金及现金等价物余额||1,706,358,877.87|1,472,460,123.42
六、期末现金及现金等价物余额||1,527,787,017.44|1,706,358,877.87
