page|78
项目|附注|2020 年度|2019 年度
一、营业总收入||116,421,161,443.09|116,599,292,224.93
其中：营业收入|七、61|116,421,161,443.09|116,599,292,224.93
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||104,480,352,421.42|108,933,483,992.39
其中：营业成本|七、61|92,221,111,793.29|96,187,970,914.87
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|1,860,022,932.02|1,795,148,317.55
销售费用|七、63|190,089,212.87|151,653,909.18
管理费用|七、64|1,104,443,170.70|1,063,940,221.32
研发费用|七、65|373,836,803.63|319,642,714.26
财务费用|七、66|8,730,848,508.91|9,415,127,915.21
其中：利息费用||8,756,651,554.27|9,454,253,878.80
利息收入||86,490,136.70|115,635,713.16
加：其他收益|七、67|378,562,922.68|391,245,911.70
投资收益（损失以“－”号填列）|七、68|4,017,051,596.85|2,971,933,557.42
page|79
其中：对联营企业和合营企业的投资收益||1,246,411,639.79|1,277,145,896.63
以摊余成本计量的金融资产终止确认收益||-227,191,116.52|-321,751,493.16
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
|信用减值损失（损失以“-”号填列）  七、71|-4,437,881,095.35|-2,862,869,065.78
|资产减值损失（损失以“-”号填列）  七、72|-1,607,867,197.81|-1,570,702,291.14
|资产处置收益（损失以“－”号填列）  七、73|189,944,011.82|295,046,281.90
三、营业利润（亏损以“－”号填列）||10,480,619,259.86|6,890,462,626.64
加：营业外收入|七、74|129,772,617.21|543,678,198.96
减：营业外支出|七、75|208,468,635.50|318,635,771.63
四、利润总额（亏损总额以“－”号填列）||10,401,923,241.57|7,115,505,053.97
减：所得税费用|七、76|2,694,752,328.95|2,320,840,976.84
五、净利润（净亏损以“－”号填列）||7,707,170,912.62|4,794,664,077.13
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||7,707,170,912.62|4,794,664,077.13
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,633,092,716.74|1,744,222,471.41
2.少数股东损益（净亏损以“-”号填列）||5,074,078,195.88|3,050,441,605.72
六、其他综合收益的税后净额||472,234,871.85|-164,839,991.96
（一）归属母公司所有者的其他综合收益的税后净额||483,568,463.91|-169,651,772.46
1．不能重分类进损益的其他综合收益||494,197,487.61|-169,651,772.46
（1）重新计量设定受益计划变动额||-915,623.14|1,234,009.63
（2）权益法下不能转损益的其他综合收益||393,444,097.31|
（3）其他权益工具投资公允价值变动||101,669,013.44|-170,885,782.09
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-10,629,023.70|
（1）权益法下可转损益的其他综合收益||-10,629,023.70|
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-11,333,592.06|4,811,780.50
七、综合收益总额||8,179,405,784.47|4,629,824,085.17
（一）归属于母公司所有者的综合收益总额||3,116,661,180.65|1,574,570,698.95
（二）归属于少数股东的综合收益总额||5,062,744,603.82|3,055,253,386.22
八、每股收益：|||
page|80
（一）基本每股收益(元/股)||0.129|0.081
（二）稀释每股收益(元/股)||0.129|0.081
