page|61
项 目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||1,374,510,212.32|1,858,332,239.46
收到的税费返还|||177.19
收到其他与经营活动有关的现金|（四十五）|48,174,256.59|47,617,523.11
经营活动现金流入小计||1,422,684,468.91|1,905,949,939.76
购买商品、接受劳务支付的现金||1,234,098,148.12|1,632,707,586.41
支付给职工以及为职工支付的现金||69,632,689.72|74,271,061.16
page|62
支付的各项税费||41,945,675.67|52,707,122.83
支付其他与经营活动有关的现金|（四十五）|36,032,276.27|41,868,491.00
经营活动现金流出小计||1,381,708,789.78|1,801,554,261.40
经营活动产生的现金流量净额||40,975,679.13|104,395,678.36
二、投资活动产生的现金流量|||
收回投资收到的现金||108,346,932.13|4,600,000.00
取得投资收益收到的现金||97,246,633.86|71,814,922.87
处置固定资产、无形资产和其他长期资产收回的现金净额||10,960,725.53|3,380,521.20
投资活动现金流入小计||216,554,291.52|79,795,444.07
购建固定资产、无形资产和其他长期资产支付的现金||7,629,342.39|16,895,118.41
投资支付的现金||5,280,000.00|46,968,478.17
支付其他与投资活动有关的现金|（四十五）|1,362,095.04|634,129.55
投资活动现金流出小计||14,271,437.43|64,497,726.13
投资活动产生的现金流量净额||202,282,854.09|15,297,717.94
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
筹资活动现金流入小计||-|-
分配股利、利润或偿付利息支付的现金||8,374,000.06|8,300,830.41
其中：子公司支付给少数股东的股利、利润||3,660,751.98|3,592,259.81
筹资活动现金流出小计||8,374,000.06|8,300,830.41
筹资活动产生的现金流量净额||-8,374,000.06|-8,300,830.41
四、汇率变动对现金及现金等价物的影响||-985,778.71|359,505.05
五、现金及现金等价物净增加额||233,898,754.45|111,752,070.94
加：期初现金及现金等价物余额||1,472,460,123.42|1,360,708,052.48
六、期末现金及现金等价物余额||1,706,358,877.87|1,472,460,123.42
