page|58
项 目|附注|本期发生额|上期发生额
一、营业总收入||1,228,821,458.41|1,623,086,752.58
其中：营业收入|（三十一）|1,228,821,458.41|1,623,086,752.58
二、营业总成本||1,175,330,514.25|1,537,870,288.21
其中：营业成本|（三十一）|1,099,410,549.82|1,451,651,788.31
税金及附加|（三十二）|3,476,814.98|3,093,206.65
销售费用|（三十三）|48,709,503.22|62,123,006.68
管理费用|（三十四）|46,830,237.27|46,486,930.78
财务费用|（三十五）|-23,096,591.04|-25,484,644.21
利息收入||24,712,835.38|27,483,793.77
加：其他收益|（三十六）|1,251,686.44|326,432.82
投资收益（损失以"-"填列）|（三十七）|100,974,928.99|75,235,429.44
其中：对联营企业和合营企业的投资收益||16,922,629.60|13,322,608.82
公允价值变动收益（损失以"-"填列）|（三十八）|-5,647,623.24|2,920,620.54
信用减值损失（损失以“-”号填列）|（三十九）|179,200.06|805,602.67
资产减值损失（损失以“-”号填列）|（四十）||-14,688,152.72
资产处置收益（损失以"-"填列）|（四十一）|40,163.46|452,975.62
三、营业利润（亏损以“-”号填列）||150,289,299.87|150,269,372.74
加：营业外收入|（四十二）|1,202,551.23|119,650.38
减：营业外支出|（四十三）|230,308.24|385,221.80
四、利润总额（亏损总额以“-”号填列）||151,261,542.86|150,003,801.32
减：所得税费用|（四十四）|18,200,979.33|21,018,576.41
五、净利润（净亏损以“-”号填列）||133,060,563.53|128,985,224.91
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||133,060,563.53|128,985,224.91
page|59
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||130,053,676.60|124,873,051.45
2.少数股东损益（净亏损以“-”号填列）||3,006,886.93|4,112,173.46
六、其他综合收益的税后净额||5,248,971.61|14,660,897.56
归属母公司所有者的其他综合收益的税后净额||5,248,971.61|14,660,897.56
（一）不能重分类进损益的其他综合收益||6,234,418.58|14,307,467.37
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动||6,234,418.58|14,307,467.37
4.企业自身信用风险公允价值变动|||
5.其他|||
（二）将重分类进损益的其他综合收益||-985,446.97|353,430.19
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额||-985,446.97|353,430.19
7.其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||138,309,535.14|143,646,122.47
归属于母公司所有者的综合收益总额||135,302,648.21|139,533,949.01
归属于少数股东的综合收益总额||3,006,886.93|4,112,173.46
八、每股收益：|||
page|60
（一）基本每股收益||0.246|0.237
（二）稀释每股收益||0.246|0.237
