page|66
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,576,183,887.73|1,295,911,230.75
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||26,505,936.42|21,856,255.44
收到其他与经营活动有关的现金|七、79|14,515,865.48|372,309,787.40
经营活动现金流入小计||1,617,205,689.63|1,690,077,273.59
购买商品、接受劳务支付的||1,529,432,627.03|1,511,975,791.65
page|67
现金|||
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||92,006,028.30|66,541,052.88
支付的各项税费||84,070,887.06|37,098,458.86
支付其他与经营活动有关的现金|七、79|97,745,349.25|543,150,420.43
经营活动现金流出小计||1,803,254,891.64|2,158,765,723.82
经营活动产生的现金流量净额||-186,049,202.01|-468,688,450.23
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||427,939.83|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||427,939.83|
购建固定资产、无形资产和其他长期资产支付的现金||86,577,484.48|305,381,218.58
投资支付的现金||200,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、79|2,000,000.00|84,000,000.00
投资活动现金流出小计||288,577,484.48|389,381,218.58
投资活动产生的现金流量净额||-288,149,544.65|-389,381,218.58
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||854,711,821.85|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||2,513,478,984.95|2,052,076,540.00
收到其他与筹资活动有关的现金|七、79|167,599,016.42|366,522,485.00
筹资活动现金流入小计||3,535,789,823.22|2,418,599,025.00
偿还债务支付的现金||2,053,895,201.50|793,850,480.00
分配股利、利润或偿付利息||80,758,926.03|97,239,206.50
page|68
支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、79|578,631,780.70|607,218,245.36
筹资活动现金流出小计||2,713,285,908.23|1,498,307,931.86
筹资活动产生的现金流量净额||822,503,914.99|920,291,093.14
四、汇率变动对现金及现金等价物的影响||-248.14|-1,722,747.09
五、现金及现金等价物净增加额||348,304,920.19|60,498,677.24
加：期初现金及现金等价物余额||149,544,534.74|89,045,857.50
六、期末现金及现金等价物余额||497,849,454.93|149,544,534.74
