page|55
项目|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|（一）|264,896,175.23|339,633,747.17
结算备付金|||
拆出资金|||
交易性金融资产|（二）|207,321,456.28|54,306,437.63
衍生金融资产|||
应收票据|||
应收账款|（五）|2,365,880.61|2,294,343.46
应收款项融资|||
预付款项|（七）|96,806.60|476,039,935.26
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|4,160,268.18|1,685,440.12
其中：应收利息|||
应收股利||12,000.00|
买入返售金融资产|||
存货|（九）|565,049,631.15|37,388,231.49
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十三）|2,816,713.77|36,028,531.10
流动资产合计||1,046,706,931.82|947,376,666.23
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|（十八）|1,622,744,085.82|1,934,489,090.30
其他非流动金融资产|（十九）|74,536,374.35|69,114,855.19
投资性房地产|（二十）|67,144,432.65|69,438,538.16
固定资产|（二十一）|65,803,667.12|57,568,003.96
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（二十六）|57,659,875.11|81,908,268.59
开发支出|||
商誉|（二十八）||
长期待摊费用|||
page|56
递延所得税资产|（三十）|2,509,968.95|1,718,050.66
其他非流动资产|||
非流动资产合计||1,890,398,404.00|2,214,236,806.86
资产总计||2,937,105,335.82|3,161,613,473.09
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（三十六）|8,518,292.63|8,416,339.49
预收款项|（三十七）|4,122,905.78|5,510,126.97
合同负债|（三十八）|966,754.68|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|3,929,761.28|3,309,963.12
应交税费|（四十）|2,166,860.26|4,689,551.41
其他应付款|（四十一）|41,853,005.28|35,556,290.24
其中：应付利息||9,255.82|
应付股利||2,177,927.57|2,177,927.57
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||61,557,579.91|57,482,271.23
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|（三十）|408,340,824.02|485,131,020.43
其他非流动负债|||
非流动负债合计||408,340,824.02|485,131,020.43
负债合计||469,898,403.93|542,613,291.66
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|686,677,113.00|686,677,113.00
其他权益工具|||
page|57
其中：优先股|||
永续债|||
资本公积|（五十五）|53,331,197.25|53,331,197.25
减：库存股|||
其他综合收益|（五十七）|1,191,344,903.87|1,425,153,657.23
专项储备|||
盈余公积|（五十九）|156,060,707.68|145,305,691.86
一般风险准备|||
未分配利润|（六十）|287,841,809.55|213,872,893.13
归属于母公司所有者权益（或股东权益）合计||2,375,255,731.35|2,524,340,552.47
少数股东权益||91,951,200.54|94,659,628.96
所有者权益（或股东权益）合计||2,467,206,931.89|2,619,000,181.43
负债和所有者权益（或股东权益）总计||2,937,105,335.82|3,161,613,473.09
