page|52
项目|附注五|2020 年度|2019 年度
一、营业总收入||4,303,465,087.94|10,944,668,477.76
其中：营业收入|（六十一）|4,303,465,087.94|10,944,668,477.76
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,562,568,511.02|5,406,692,615.65
其中：营业成本|（六十一）|6,600,710,345.64|5,340,221,124.91
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|4,489,200.10|10,066,107.96
销售费用|（六十三）||75,738.82
管理费用|（六十四）|233,434,413.63|265,034,895.54
研发费用|||
财务费用|（六十六）|-276,065,448.35|-208,705,251.58
其中：利息费用|||
利息收入|（六十六）|276,466,257.03|208,978,282.71
加：其他收益|（六十七）|155,814,800.34|3,591,023.62
|投资收益（损失以“－”号填列）  （六十八）|589,700,728.80|1,149,911,810.74
其中：对联营企业和合营企业的投资收益|（六十八）|589,700,728.80|1,149,911,810.74
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
page|53
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（七十一）|45,297.74|-16,888,667.31
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||-1,513,542,596.20|6,674,590,029.16
加：营业外收入|（七十四）|940,331.37|2,403,731.71
减：营业外支出|（七十五）|3,022,925.02|9,416,454.85
四、利润总额（亏损总额以“－”号填列）||-1,515,625,189.85|6,667,577,306.02
减：所得税费用|（七十六）|-347,040,607.67|1,406,712,846.23
五、净利润（净亏损以“－”号填列）||-1,168,584,582.18|5,260,864,459.79
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-1,168,584,582.18|5,260,864,459.79
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-1,266,651,387.56|5,030,210,052.62
2.少数股东损益（净亏损以“-”号填列）||98,066,805.38|230,654,407.17
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
page|54
七、综合收益总额||-1,168,584,582.18|5,260,864,459.79
（一）归属于母公司所有者的综合收益总额||-1,266,651,387.56|5,030,210,052.62
（二）归属于少数股东的综合收益总额||98,066,805.38|230,654,407.17
八、每股收益：|||
（一）基本每股收益(元/股)|（七十八）|-0.66|2.61
（二）稀释每股收益(元/股)|（七十八）|-0.66|2.61
