page|55
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,595,259,680.33|11,112,129,346.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（七十九）|544,923,205.61|340,656,983.13
经营活动现金流入小计||5,140,182,885.94|11,452,786,329.65
购买商品、接受劳务支付的现金||2,452,794,059.75|1,847,425,059.44
客户贷款及垫款净增加额|||
page|56
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,230,428,393.07|1,945,359,641.37
支付的各项税费||699,764,665.85|1,559,732,812.27
支付其他与经营活动有关的现金|（七十九）|974,855,081.08|1,215,223,033.77
经营活动现金流出小计||6,357,842,199.75|6,567,740,546.85
经营活动产生的现金流量净额||-1,217,659,313.81|4,885,045,782.80
二、投资活动产生的现金流量：|||
收回投资收到的现金||303,870,195.59|100,501,247.03
取得投资收益收到的现金||1,298,975,303.29|450,897,522.60
处置固定资产、无形资产和其他长期资产收回的现金净额||142,629.51|1,041,727.60
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,602,988,128.39|552,440,497.23
购建固定资产、无形资产和其他长期资产支付的现金||1,325,364,267.37|2,302,126,352.25
投资支付的现金||61,900,000.00|60,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,387,264,267.37|2,362,126,352.25
投资活动产生的现金流量净额||215,723,861.02|-1,809,685,855.02
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||1,702,073,732.15|1,481,095,483.90
其中：子公司支付给少数股东的股利、利润||199,946,518.10|173,854,553.32
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||1,702,073,732.15|1,481,095,483.90
筹资活动产生的现金流量净额||-1,702,073,732.15|-1,481,095,483.90
四、汇率变动对现金及现金等价物的影响||-110,526.12|19,181.71
五、现金及现金等价物净增加额||-2,704,119,711.06|1,594,283,625.59
加：期初现金及现金等价物余额||10,359,797,684.74|8,765,514,059.15
六、期末现金及现金等价物余额||7,655,677,973.68|10,359,797,684.74
