page|94
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,652,171,909.54|2,564,592,701.14
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||168,263,758.03|185,674,234.04
收到其他与经营活动有关的现金|（八十）|44,868,228.21|19,853,577.97
经营活动现金流入小计||2,865,303,895.78|2,770,120,513.15
购买商品、接受劳务支付的现金||2,576,662,293.41|2,151,835,490.69
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||330,385,828.06|400,286,844.37
支付的各项税费||8,692,555.63|7,433,966.34
支付其他与经营活动有关的现金|（八十）|154,829,876.02|51,169,991.64
经营活动现金流出小计||3,070,570,553.12|2,610,726,293.04
经营活动产生的现金流量净额||-205,266,657.34|159,394,220.11
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,021,934.42|
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||3,844,186.99|38,607,994.23
page|95
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||4,866,121.41|38,607,994.23
购建固定资产、无形资产和其他长期资产支付的现金||622,051,484.78|202,221,076.35
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||172,043,586.76
支付其他与投资活动有关的现金|||
投资活动现金流出小计||622,051,484.78|374,264,663.11
投资活动产生的现金流量净额||-617,185,363.37|-335,656,668.88
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||757,752,407.92|37,505,454.89
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||828,984,015.29|662,484,888.00
收到其他与筹资活动有关的现金|（八十）||100,000,000.00
筹资活动现金流入小计||1,586,736,423.21|799,990,342.89
偿还债务支付的现金||643,725,898.52|462,484,888.00
分配股利、利润或偿付利息支付的现金||39,459,992.57|42,644,861.32
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（八十）|45,327,913.07|25,604,017.39
筹资活动现金流出小计||728,513,804.16|530,733,766.71
筹资活动产生的现金流量净额||858,222,619.05|269,256,576.18
四、汇率变动对现金及现金等价物的影响||-50,559,011.67|13,552,546.30
五、现金及现金等价物净增加额||-14,788,413.33|106,546,673.71
加：期初现金及现金等价物余额||277,331,181.72|170,784,508.01
六、期末现金及现金等价物余额||262,542,768.39|277,331,181.72
