page|134
项目|附注|2020 年度|2019 年度|2020 年度|2019 年度
||合并|合并|公司|公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||240,052,501|238,815,589|-|-
吸收存款和同业存放款项净增加额||25,058|18,091|-|-
存放中央银行款项净减少额||-|693,023|-|-
收取利息、手续费及佣金的现金||1,381,851|1,315,921|-|-
收到的税费返还||6,574,762|6,271,733|-|-
收到其他与经营活动有关的现金|四(59)(a)|4,950,874|5,008,821|21,491,325|30,809,036
经营活动现金流入小计||252,985,046|252,123,178|21,491,325|30,809,036
购买商品、接受劳务支付的现金||(139,660,744)  (130,099,497)||-|-
发放贷款及垫款净增加额||(6,078,053)|(318,859)|-|-
向中央银行借款净减少额||-|(99,754)|-|-
存放中央银行款项净增加额||(1,274,496)|-|-|-
支付利息、手续费及佣金的现金||(113,517)|(134,251)|-|-
支付给职工以及为职工支付的现金||(28,460,318)|(26,851,139)|(72,404)|(52,269)
支付的各项税费||(13,407,607)|(14,897,513)|(342,190)|(133,421)
支付其他与经营活动有关的现金|四(59)(b)|(34,433,194)|(41,131,761)|(10,178,648)|(6,818,472)
经营活动现金流出小计||(223,427,929)  (213,532,774)||(10,593,242)|(7,004,162)
经营活动产生的现金流量净额|四(59)(c)|29,557,117|38,590,404|10,898,083|23,804,874
二、投资活动(使用)/产生的现金流量|||||
收回投资收到的现金||141,821,724|84,852,601|103,460,300|56,920,222
取得投资收益所收到的现金||4,874,990|4,026,590|15,565,104|12,812,869
处置固定资产、无形资产和其他长期资产收回的|||||
现金净额||273,544|125,419|255|1,040
处置子公司及其他营业单位收到的现金净额||42,398|-|13,000|-
投资活动现金流入小计||147,012,656|89,004,610|119,038,659|69,734,131
购建固定资产、无形资产和其他长期资产支付的|||||
现金||(4,656,582)|(3,451,856)|(187,723)|(183,326)
投资支付的现金||(176,621,347)  (108,457,398)  (117,386,281)|||(88,883,737)
取得子公司及其他营业单位支付的现金净额||(1,045,390)|(203,057)|-|-
投资活动现金流出小计||(182,323,319)|(112,112,311)  (117,574,004)||(89,067,063)
投资活动(使用)/产生的现金流量净额||(35,310,663)|(23,107,701)|1,464,655|(19,332,932)
三、筹资活动使用的现金流量|||||
吸收投资收到的现金||2,657,489|2,897,917|2,542,556|2,777,490
其中：子公司吸收少数股东投资收到的现金||114,933|120,427|-|-
取得借款收到的现金||18,070,961|17,117,677|6,599,314|11,059,564
发行短期融资券收到的现金||33,998,238|-|33,998,238|-
收到其他与筹资活动有关的现金||22,725|-|-|-
筹资活动现金流入小计||54,749,413|20,015,594|43,140,108|13,837,054
偿还债务支付的现金||(8,354,338)|(8,643,875)|(4,550,064)|(3,084,500)
兑付短期融资券支付的现金||(31,000,000)|-|(31,000,000)|-
分配股利、利润或偿付利息支付的现金||(12,822,636)|(11,055,769)|(12,831,949)|(9,740,298)
其中：子公司支付给少数股东的股利、利润||(425,461)|(1,651,504)|-|-
支付其他与筹资活动有关的现金||(3,328,734)|(3,589,551)|(2,934,420)|(3,257,482)
筹资活动现金流出小计||(55,505,708)|(23,289,195)|(51,316,433)|(16,082,280)
筹资活动使用的现金流量净额||(756,295)|(3,273,601)|(8,176,325)|(2,245,226)
四、汇率变动对现金及现金等价物的影响||(383,411)|280,376|-|-
五、现金及现金等价物净(减少)/增加额|四(59)(c)|(6,893,252)|12,489,478|4,186,413|2,226,716
加：年初现金及现金等价物余额||30,441,760|17,952,282|12,408,650|10,181,934
