page|55
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,017,199,481.74|1,435,933,847.12
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净|||
page|56
增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||270,340.08|
收到其他与经营活动有关的现金|七、78（1）|6,551,265.52|9,825,748.81
经营活动现金流入小计||1,024,021,087.34|1,445,759,595.93
购买商品、接受劳务支付的现金||830,065,138.53|1,080,883,529.36
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||114,099,701.87|116,447,701.77
支付的各项税费||35,159,556.60|69,791,072.57
支付其他与经营活动有关的现金|七、78（2）|82,971,877.04|171,418,663.67
经营活动现金流出小计||1,062,296,274.04|1,438,540,967.37
经营活动产生的现金流量净额||-38,275,186.70|7,218,628.56
二、投资活动产生的现金流量：|||
收回投资收到的现金||20,445,442.29|87,500,000.00
取得投资收益收到的现金||9,878.52|739,850.62
处置固定资产、无形资产和其他长期资产收回的现金净额||128,286.00|58,291.49
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||20,583,606.81|88,298,142.11
购建固定资产、无形资产和其他长期资产支付的现金||28,323,867.08|110,305,977.97
投资支付的现金||12,000,000.00|77,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位|||
page|57
支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||40,323,867.08|187,305,977.97
投资活动产生的现金流量净额||-19,740,260.27|-99,007,835.86
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,000,000.00|
其中：子公司吸收少数股东投资收到的现金||3,000,000.00|
取得借款收到的现金||465,000,000.00|360,000,000.00
收到其他与筹资活动有关的现金|七、78（5）||1,200,000.00
筹资活动现金流入小计||468,000,000.00|361,200,000.00
偿还债务支付的现金||325,000,000.00|390,000,000.00
分配股利、利润或偿付利息支付的现金||18,763,877.54|19,082,054.20
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78（6）|100,000,000.00|
筹资活动现金流出小计||443,763,877.54|409,082,054.20
筹资活动产生的现金流量净额||24,236,122.46|-47,882,054.20
四、汇率变动对现金及现金等价物的影响||-13,313.74|-411.08
五、现金及现金等价物净增加额||-33,792,638.25|-139,671,672.58
加：期初现金及现金等价物余额||79,533,531.89|219,205,204.47
六、期末现金及现金等价物余额||45,740,893.64|79,533,531.89
