page|100
项目|注释|2020 年度|2019 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,067,824,776.87|3,155,092,680.59
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|101
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||24,073,483.62|41,807,941.57
收到其他与经营活动有关的现金|五、50（1）|60,115,994.83|34,967,745.51
经营活动现金流入小计||3,152,014,255.32|3,231,868,367.67
购买商品、接受劳务支付的现金||2,246,729,236.18|2,233,070,264.98
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||371,290,899.94|406,574,141.42
支付的各项税费||125,304,465.07|129,920,297.11
支付其他与经营活动有关的现金|五、50（2）|202,587,209.61|179,686,399.19
经营活动现金流出小计||2,945,911,810.80|2,949,251,102.70
经营活动产生的现金流量净额||206,102,444.52|282,617,264.97
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,332,639.14|13,067,016.48
取得投资收益收到的现金||15,985,719.64|13,767,877.79
处置固定资产、无形资产和其他长期资产收回的现金净额||2,017,082.28|2,735,813.78
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||19,335,441.06|29,570,708.05
购建固定资产、无形资产和其他长期资产支付的现金||125,278,132.40|110,875,025.08
投资支付的现金||71,585,400.00|3,750,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五、50（3）||32,273,840.00
投资活动现金流出小计||196,863,532.40|146,898,865.08
投资活动产生的现金流量净额||-177,528,091.34|-117,328,157.03
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||124,879,600.00|
其中：子公司吸收少数股东投资收到的现金||124,879,600.00|
取得借款收到的现金||732,710,000.00|666,910,000.00
收到其他与筹资活动有关的现金|五、50（4）|52,643,341.07|13,894,286.37
page|102
筹资活动现金流入小计||910,232,941.07|680,804,286.37
偿还债务支付的现金||757,815,000.00|694,805,000.00
分配股利、利润或偿付利息支付的现金||67,218,983.09|58,084,745.00
其中：子公司支付给少数股东的股利、利润||43,245,813.35|32,141,312.17
支付其他与筹资活动有关的现金|五、50（5）|64,062,719.40|19,400,744.73
筹资活动现金流出小计||889,096,702.49|772,290,489.73
筹资活动产生的现金流量净额||21,136,238.58|-91,486,203.36
四、汇率变动对现金及现金等价物的影响||-16,472,927.79|2,791,064.95
五、现金及现金等价物净增加额||33,237,663.97|76,593,969.53
加：期初现金及现金等价物余额||853,345,952.97|776,751,983.44
六、期末现金及现金等价物余额||886,583,616.94|853,345,952.97
