page|97
项目|注释|2020 年度|2019 年度
一、营业总收入||3,213,346,174.94|3,237,263,431.25
其中：营业收入|五、36|3,213,346,174.94|3,237,263,431.25
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,027,272,953.44|3,033,688,872.09
其中：营业成本|五、36|2,523,060,245.41|2,494,216,926.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任合同准备金净额|||
保单红利支出|||
page|98
分保费用|||
税金及附加|五、37|32,358,246.59|31,325,748.18
销售费用|五、38|63,794,107.99|135,329,747.70
管理费用|五、39|211,767,985.34|208,355,123.45
研发费用|五、40|161,425,750.04|148,665,422.93
财务费用|五、41|34,866,618.07|15,795,903.77
其中：利息费用||23,850,530.85|25,920,392.08
利息收入||7,246,857.15|9,095,933.17
加：其他收益|五、42|40,771,496.89|26,633,504.39
投资收益（损失以“－”号填列）|五、43|18,586,079.46|17,092,592.73
其中：对联营企业和合营企业的投资收益||7,100,359.83|3,324,714.94
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|五、44|-12,251,826.53|-19,082,749.10
资产减值损失（损失以“-”号填列）|五、45|-7,043,571.57|-12,096,802.57
资产处置收益（损失以“-”号填列）|五、46|-184,166.24|510,314.67
三、营业利润（亏损以“－”号填列）||225,951,233.51|216,631,419.28
加：营业外收入|五、47|2,835,235.86|939,364.95
减：营业外支出|五、48|2,667,200.25|2,195,397.78
四、利润总额（亏损总额以“－”号填列）||226,119,269.12|215,375,386.45
减：所得税费用|五、49|22,556,494.51|18,889,857.43
五、净利润（净亏损以“－”号填列）||203,562,774.61|196,485,529.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||203,562,774.61|196,485,529.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||116,673,578.73|112,904,825.37
2.少数股东损益||86,889,195.88|83,580,703.65
六、其他综合收益的税后净额||-22,189,205.31|33,624,033.19
归属母公司所有者的其他综合收益的税后净额||-21,837,436.67|33,611,550.38
（一）不能重分类进损益的其他综合收益||-21,818,135.39|33,624,766.19
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动||-21,818,135.39|33,624,766.19
4.企业自身信用风险公允价值变动|||
5.其他|||
page|99
（二）将重分类进损益的其他综合收益||-19,301.28|-13,215.81
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额||-19,301.28|-13,215.81
7.其他|||
归属于少数股东的其他综合收益的税后净额||-351,768.64|12,482.81
七、综合收益总额||181,373,569.30|230,109,562.21
归属于母公司所有者的综合收益总额||94,836,142.06|146,516,375.75
归属于少数股东的综合收益总额||86,537,427.24|83,593,186.46
八、每股收益：|||
（一）基本每股收益|十五、2|0.29|0.28
（二）稀释每股收益|十五、2|0.29|0.28
