page|68
项目|附注|2020 年 12 月 31日|2019 年 12 月 31日
流动资产：|||
货币资金|七(1)|8,641,612,847|5,107,514,423
交易性金融资产|七(2)|1,004,581,752|-
应收票据|七(3)|79,939,117|97,734,290
应收账款|七(4)|653,219,779|561,894,121
应收款项融资|七(5)|1,020,306,419|1,308,788,934
预付款项|七(6)|378,619,350|258,828,106
其他应收款|七(7)|375,253,958|485,987,186
其中：应收利息||641,915|55,985
应收股利||-|-
存货|七(8)|2,349,156,189|1,996,995,776
其他流动资产|七(9)|631,922,798|330,744,967
流动资产合计||15,134,612,209|10,148,487,803
非流动资产：|||
债权投资||7,500,000|7,500,000
长期应收款||29,141,216|29,148,833
长期股权投资|七(10)|512,281,201|414,090,759
其他权益工具投资|七(11)|33,774,995|38,230,101
其他非流动金融资产|七(12)|32,827,254|35,003,608
固定资产|七(13)|19,185,630,257|16,718,113,646
在建工程|七(14)|3,104,429,340|4,113,162,732
无形资产|七(15)|4,267,008,181|3,869,622,351
开发支出||2,050,090|440,897
商誉|七(16)|476,084,798|476,084,798
长期待摊费用|七(17)|363,760,774|328,639,529
递延所得税资产|七(18)|437,800,338|338,810,643
其他非流动资产||341,608,498|128,051,017
非流动资产合计||28,793,896,942|26,496,898,914
资产总计||43,928,509,151|36,645,386,717
流动负债：|||
短期借款|七(19)|625,000,000|197,000,000
应付票据|七(20)|472,696,537|191,505,647
应付账款|七(21)|5,297,633,770|5,120,908,908
预收款项|七(22)|-|616,086,758
合同负债|七(23)|830,492,042|-
应付职工薪酬|七(24)|529,877,921|484,465,267
应交税费|七(25)|1,186,166,143|965,576,744
page|69
其他应付款|七(26)|786,246,239|679,448,864
其中：应付利息||30,026,120|21,770,866
应付股利||63,842,709|34,268,915
一年内到期的非流动负债|七(27)|1,874,484,159|769,685,711
流动负债合计||11,602,596,811|9,024,677,899
非流动负债：|||
长期借款|七(28)|3,504,279,973|2,039,543,196
应付债券|七(29)|1,943,763,447|1,198,058,176
长期应付款|七(30)|191,011,663|81,962,612
长期应付职工薪酬|七(31)|127,205,104|124,555,420
预计负债|七(32)|233,393,286|192,091,010
递延收益|七(33)|301,399,766|317,140,694
递延所得税负债|七(18)|284,920,603|299,674,965
非流动负债合计||6,585,973,842|4,253,026,073
负债合计||18,188,570,653|13,277,703,972
所有者权益（或股东权益）：|||
实收资本（或股本）|七(34)|2,096,599,855|2,096,599,855
资本公积|七(35)|1,943,538,052|1,913,438,767
减：库存股|七(36)|610,051,971|-
其他综合收益|七(37)|-275,292,763|-17,416,212
盈余公积|七(38)|1,111,880,257|1,111,880,257
未分配利润|七(39)|19,304,701,887|16,204,540,023
归属于母公司所有者权益（或股东权益）合计||23,571,375,317|21,309,042,690
少数股东权益||2,168,563,181|2,058,640,055
所有者权益（或股东权益）合计||25,739,938,498|23,367,682,745
负债和所有者权益（或股东权益）总计||43,928,509,151|36,645,386,717
page|73
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||30,838,524,919|35,151,703,578
收到的税费返还||166,453,900|170,419,262
收到其他与经营活动有关的现金|七(54)(1)|219,373,958|360,305,324
经营活动现金流入小计||31,224,352,777|35,682,428,164
购买商品、接受劳务支付的现金||16,116,106,584|18,289,125,696
支付给职工及为职工支付的现金||2,480,442,469|2,735,150,458
支付的各项税费||3,372,065,119|4,068,291,507
支付其他与经营活动有关的现金|七(54)(2)|850,265,845|910,674,638
经营活动现金流出小计||22,818,880,017|26,003,242,299
经营活动产生的现金流量净额|七(55)(1)|8,405,472,760|9,679,185,865
二、投资活动产生的现金流量：|||
收回投资收到的现金||650,070,000|1,901,130,000
取得投资收益收到的现金||5,450,137|181,498,544
处置固定资产、无形资产和其他长期资产收回的现金净额||52,523,503|101,134,682
|处置子公司及其他营业单位收到的现金净额  七(55)(3)|171,932,839|1,500,000
收到其他与投资活动有关的现金||36,369,014|-
投资活动现金流入小计||916,345,493|2,185,263,226
购建固定资产、无形资产和其他长期资产支付的现金||3,589,696,674|4,122,149,866
投资支付的现金||1,650,000,000|1,921,357,298
|取得子公司及其他营业单位支付的现金净额  七(55)(2)|684,690,731|628,460,513
投资活动现金流出小计||5,924,387,405|6,671,967,677
投资活动产生的现金流量净额||-5,008,041,912|-4,486,704,451
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||112,310,000|36,355,823
其中：子公司吸收少数股东投资收到的现金||112,310,000|36,355,823
取得借款收到的现金||2,914,266,422|993,459,680
发行债券收到的现金||1,959,330,026|-
收到其他与筹资活动有关的现金||-|137,900,000
筹资活动现金流入小计|七(54)(3)|4,985,906,448|1,167,715,503
偿还债务支付的现金||1,115,347,517|3,990,569,210
分配股利、利润或偿付利息支付的现金||2,975,872,170|2,480,302,084
