page|75
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||7,355,448,321.52|6,097,978,971.15
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,467,362.80|3,178,974.69
收到其他与经营活动有关的现金|||1,438,623,579.87  1,730,202,100.85
经营活动现金流入小计|||8,795,539,264.19  7,831,360,046.69
page|76
购买商品、接受劳务支付的现金|||6,451,655,772.00  5,183,778,247.82
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||739,209,234.75|710,068,467.72
支付的各项税费||233,406,505.80|177,746,178.27
支付其他与经营活动有关的现金|||1,173,402,563.76  1,660,332,661.62
经营活动现金流出小计|||8,597,674,076.31  7,731,925,555.43
经营活动产生的现金流量净额||197,865,187.88|99,434,491.26
二、投资活动产生的现金流量：|||
收回投资收到的现金|||13,000,000.00
取得投资收益收到的现金||3,600,000.00|4,686,883.47
处置固定资产、无形资产和其他长期资产收回的现金净额||2,088,320.14|34,221,955.96
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||5,688,320.14|51,908,839.43
购建固定资产、无形资产和其他长期资产支付的现金||265,020,098.06|241,073,579.88
投资支付的现金|||45,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||265,020,098.06|286,073,579.88
投资活动产生的现金流量净额||-259,331,777.92|-234,164,740.45
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||3,029,473,608.65  3,517,841,111.12
收到其他与筹资活动有关的现金||1,339,490,525.92|589,009,191.25
筹资活动现金流入小计|||4,368,964,134.57  4,106,850,302.37
偿还债务支付的现金|||3,209,655,450.92  3,301,801,012.72
分配股利、利润或偿付利息支付的现金||146,739,864.94|195,714,814.32
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||836,215,356.89|654,500,691.09
筹资活动现金流出小计|||4,192,610,672.75  4,152,016,518.13
筹资活动产生的现金流量净额||176,353,461.82|-45,166,215.76
四、汇率变动对现金及现金等价物的影响||-11,027.07|
五、现金及现金等价物净增加额||114,875,844.71|-179,896,464.95
加：期初现金及现金等价物余额||175,786,237.97|355,682,702.92
六、期末现金及现金等价物余额||290,662,082.68|175,786,237.97
