page|72
项目|附 注|2021 年度|2020 年度
一、营业总收入|||9,383,674,161.80  7,602,781,444.82
其中：营业收入|||9,383,674,161.80  7,602,781,444.82
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||9,332,672,913.26  7,754,718,857.21
其中：营业成本|||8,762,013,102.17  7,217,997,104.04
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
page|73
保单红利支出|||
分保费用|||
税金及附加||60,102,864.37|39,954,023.07
销售费用||47,709,050.35|42,733,593.38
管理费用||195,004,002.05|194,656,281.76
研发费用||26,292,746.46|2,799,547.05
财务费用||241,551,147.86|256,578,307.91
其中：利息费用||254,826,688.46|263,836,444.51
利息收入||19,271,237.68|10,805,326.63
加：其他收益||14,549,086.39|58,951,976.97
投资收益（损失以“－”号填列）||4,883,848.12|3,282,169.65
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||42,260,167.92|372,613.34
资产减值损失（损失以“-”号填列）||-13,271,121.63|-73,943,868.66
资产处置收益（损失以“－”号填列）||27,171.87|5,191,938.72
三、营业利润（亏损以“－”号填列）||99,450,401.21|-158,082,582.37
加：营业外收入||13,771,950.04|30,780,628.26
减：营业外支出||28,908,478.13|58,285,881.84
四、利润总额（亏损总额以“－”号填列）||84,313,873.12|-185,587,835.95
减：所得税费用||26,608,296.13|36,347,727.63
五、净利润（净亏损以“－”号填列）||57,705,576.99|-221,935,563.58
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||57,705,576.99|-221,935,563.58
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||55,147,182.15|-222,695,201.70
2.少数股东损益（净亏损以“-”号填列）||2,558,394.84|759,638.12
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
page|74
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||57,705,576.99|-221,935,563.58
（一）归属于母公司所有者的综合收益总额||55,147,182.15|-222,695,201.70
（二）归属于少数股东的综合收益总额||2,558,394.84|759,638.12
八、每股收益：|||
（一）基本每股收益(元/股)||0.0557|-0.2250
（二）稀释每股收益(元/股)||0.0557|-0.2250
