page|75
项目|附注|2019 年度|2018 年度
一、营业总收入||68,050,668,650.78|72,837,108,238.47
其中：营业收入|七 59|68,050,668,650.78|72,837,108,238.47
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||56,574,893,322.83|54,300,088,995.84
其中：营业成本|七 59|48,997,610,501.85|46,967,835,737.85
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七 60|576,009,017.36|822,482,349.81
销售费用|七 61|2,782,908,073.79|2,460,497,056.42
管理费用|七 62|1,433,850,380.23|1,372,527,454.56
研发费用|七 63|1,704,767,184.22|1,628,636,347.08
财务费用|七 64|1,079,748,165.38|1,048,110,050.12
其中：利息费用||1,204,062,846.48|1,205,298,128.58
page|76
利息收入||165,916,469.17|85,155,818.10
加：其他收益|七 65|961,498,177.55|1,112,948,289.89
投资收益（损失以“－”号填列）|七 66|158,918,810.28|119,589,774.06
其中：对联营企业和合营企业的投资收益||88,044,022.35|119,589,774.06
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七 68|7,790,568.75|-3,178,954.90
信用减值损失（损失以“-”号填列）|七 69|-22,432,766.52|
资产减值损失（损失以“-”号填列）|七 70|-284,166,180.23|-181,735,941.91
资产处置收益（损失以“－”号填列）|七 71|-423,187.00|18,939,508.62
三、营业利润（亏损以“－”号填列）||12,296,960,750.78|19,603,581,918.39
加：营业外收入|七 72|78,801,268.95|12,109,193.14
减：营业外支出|七 73|115,404,434.15|120,333,454.28
四、利润总额（亏损总额以“－”号填列）||12,260,357,585.58|19,495,357,657.25
减：所得税费用|七 74|1,667,038,765.81|3,422,892,669.54
五、净利润（净亏损以“－”号填列）||10,593,318,819.77|16,072,464,987.71
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||10,593,318,819.77|16,072,464,987.71
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||10,129,985,097.55|15,566,255,853.88
2.少数股东损益（净亏损以“-”号填列）||463,333,722.22|506,209,133.83
六、其他综合收益的税后净额|七 75|-22,635,205.76|-16,844,137.11
（一）归属母公司所有者的其他综合收益的税后净额||-21,858,908.98|-15,375,725.51
1．不能重分类进损益的其他综合收益||25,831,997.32|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||25,831,997.32|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-47,690,906.30|-15,375,725.51
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售|||
page|77
金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）||-44,389,589.63|-41,632,902.80
（8）外币财务报表折算差额||-3,301,316.67|26,257,177.29
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-776,296.78|-1,468,411.60
七、综合收益总额||10,570,683,614.01|16,055,620,850.60
（一）归属于母公司所有者的综合收益总额||10,108,126,188.57|15,550,880,128.37
（二）归属于少数股东的综合收益总额||462,557,425.44|504,740,722.23
八、每股收益：|||
（一）基本每股收益(元/股)|十八 2|3.23|4.96
（二）稀释每股收益(元/股)||不适用|不适用
