page|71
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日|2018 年 1 月 1 日
流动资产：||||
货币资金|七 1|4,566,327,060.34|7,229,283,196.61|3,852,758,565.36
结算备付金||||
拆出资金||||
交易性金融资产|七 2|30,367,333.35||
以公允价值计量且其变动计入当期损益的金融资产||||
衍生金融资产|七 3|58,694,405.00|108,787,119.90|21,167,639.90
应收票据|||9,539,066,246.73|11,308,499,926.17
应收账款|七 5|4,433,077,609.63|3,853,089,723.63|4,473,490,921.37
应收款项融资|七 6|3,946,731,006.53||
预付款项|七 7|437,779,688.85|434,762,013.37|501,430,820.33
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款|七 8|574,999,455.98|356,888,080.70|610,173,114.00
其中：应收利息||55,689,014.93|46,088,827.73|49,095,972.75
应收股利||||
买入返售金融资产||||
存货|七 9|8,586,883,294.06|8,940,329,876.04|8,008,276,805.06
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产|七 12|848,717,543.91|430,797,378.67|281,903,620.30
流动资产合计||23,483,577,397.65|30,893,003,635.65|29,057,701,412.49
非流动资产：||||
发放贷款和垫款||||
债权投资||||
可供出售金融资产|||20,000,000.00|20,000,000.00
其他债权投资||||
持有至到期投资||||
长期应收款|七 15|617,232,763.67|473,787,983.82|333,383,085.16
长期股权投资|七 16|717,587,079.07|707,696,748.99|564,434,007.05
其他权益工具投资|七 17|174,669,108.67||
其他非流动金融资产||||
投资性房地产||||
固定资产|七 20|37,478,286,710.68|35,643,630,183.12|33,872,014,515.29
在建工程|七 21|24,066,265,300.30|11,340,469,807.98|8,271,129,082.67
生产性生物资产||||
油气资产||||
使用权资产||||
无形资产|七 25|5,336,636,534.70|3,314,338,657.52|2,679,793,716.68
page|72
开发支出||||
商誉|七 27|1,357,753,473.53|1,350,269,007.57|1,344,117,367.00
长期待摊费用|七 28|48,632,821.39|55,444,076.50|16,300,543.05
递延所得税资产|七 29|604,307,441.69|931,332,302.25|1,151,334,104.13
其他非流动资产|七 30|2,980,374,023.94|2,333,485,077.35|1,007,854,102.69
非流动资产合计||73,381,745,257.64|56,170,453,845.10|49,260,360,523.72
资产总计||96,865,322,655.29|87,063,457,480.75|78,318,061,936.21
流动负债：||||
短期借款|七 31|20,034,036,150.27|18,868,964,070.75|13,490,360,451.52
向中央银行借款||||
拆入资金||||
交易性金融负债||||
以公允价值计量且其变动计入当期损益的金融负债||||
衍生金融负债|七 33|40,280,488.36|12,811,022.70|1,739,912.90
应付票据|七 34|8,386,383,385.20|4,146,809,415.90|1,851,643,240.39
应付账款|七 35|8,024,420,861.29|4,662,140,608.35|5,392,613,250.01
预收款项|七 36|2,334,746,524.41|2,840,808,317.99|2,695,315,544.28
卖出回购金融资产款||||
吸收存款及同业存放||||
代理买卖证券款||||
代理承销证券款||||
应付职工薪酬|七 37|802,136,137.31|930,398,728.72|888,310,267.63
应交税费|七 38|494,096,118.95|1,610,920,720.78|2,277,762,673.42
其他应付款|七 39|1,359,339,064.82|1,558,561,412.03|7,118,244,758.46
其中：应付利息||51,327,731.27|115,265,932.29|96,084,316.57
应付股利||45,187,500.00|18,000,000.00|
应付手续费及佣金||||
应付分保账款||||
持有待售负债||||
一年内到期的非流动负债|七 41|3,324,127,445.00|5,263,434,317.35|4,443,765,461.36
其他流动负债||||
流动负债合计||44,799,566,175.61|39,894,848,614.57|38,159,755,559.97
非流动负债：||||
保险合同准备金||||
长期借款|七 43|5,962,595,245.57|5,724,102,305.16|10,242,359,175.23
应付债券||||
其中：优先股||||
永续债||||
租赁负债||||
长期应付款|七 46|591,048,619.50|488,086,365.40|654,896,776.90
长期应付职工薪酬|七 47|10,707,235.00|9,620,789.80|8,918,028.90
预计负债|七 48|264,265,501.50|308,139,929.10|326,479,441.20
递延收益|七 49|907,140,419.08|934,319,002.90|973,318,436.52
递延所得税负债|七 29|398,740,487.40|122,016,465.49|98,338,747.55
其他非流动负债||||
非流动负债合计||8,134,497,508.05|7,586,284,857.85|12,304,310,606.30
负债合计||52,934,063,683.66|47,481,133,472.42|50,464,066,166.27
page|73
所有者权益（或股东权益）：||||
实收资本（或股本）|七 51|3,139,746,626.00|2,734,012,800.00|2,734,012,800.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|七 53|2,161,531,637.83|3,703,082,102.70|3,703,082,102.70
减：库存股|七 54||1,310,256,380.00|1,310,256,380.00
其他综合收益|七 55|-81,325,055.23|-165,102,891.30|-149,727,165.79
专项储备|七 56|||
盈余公积|七 57|2,823,172,641.71|2,823,172,641.71|2,823,172,641.71
一般风险准备||||
未分配利润|七 58|34,320,968,705.42|30,264,085,337.19|18,798,848,683.31
归属于母公司所有者权益（或股东权益）合计||42,364,094,555.73|38,048,993,610.30|26,599,132,681.93
少数股东权益||1,567,164,415.90|1,533,330,398.03|1,254,863,088.01
所有者权益（或股东权益）合计||43,931,258,971.63|39,582,324,008.33|27,853,995,769.94
负债和所有者权益（或股东权益）总计||96,865,322,655.29|87,063,457,480.75|78,318,061,936.21
