page|117
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||846,561,523.93|608,854,839.65
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||33,329,529.33|14,080,371.85
收到其他与经营活动有关的现金|七、78|44,335,642.73|22,962,675.38
经营活动现金流入小计||924,226,695.99|645,897,886.88
购买商品、接受劳务支付的现金||627,082,746.71|373,428,200.50
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||67,718,327.02|46,405,903.54
支付的各项税费||54,704,676.57|25,418,623.09
支付其他与经营活动有关的现金|七、78|63,359,784.46|52,792,846.32
经营活动现金流出小计||812,865,534.76|498,045,573.45
经营活动产生的现金流量净额||111,361,161.23|147,852,313.43
page|118
二、投资活动产生的现金流量：|||
收回投资收到的现金||54,865,828.41|360,000,000.00
取得投资收益收到的现金|||3,928,547.20
处置固定资产、无形资产和其他长期资产收回的现金净额||243,797.00|123,132.50
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|150,926,282.17|118,895,757.90
投资活动现金流入小计||206,035,907.58|482,947,437.60
购建固定资产、无形资产和其他长期资产支付的现金||122,951,909.51|59,065,606.59
投资支付的现金||55,800,000.00|255,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||6,720,000.00
支付其他与投资活动有关的现金|七、78|239,759,900.00|80,000,000.00
投资活动现金流出小计||418,511,809.51|400,785,606.59
投资活动产生的现金流量净额||-212,475,901.93|82,161,831.01
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||533,433,207.55|720,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||30,500,000.00|30,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||563,933,207.55|30,720,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||2,319,496.74|334,640.74
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|25,728,408.57|5,943,396.23
筹资活动现金流出小计||28,047,905.31|6,278,036.97
筹资活动产生的现金流量净额||535,885,302.24|24,441,963.03
四、汇率变动对现金及现金等价物的影响||-18,736,528.03|-9,805,258.61
五、现金及现金等价物净增加额||416,034,033.51|244,650,848.86
加：期初现金及现金等价物余额||392,415,220.93|147,764,372.07
六、期末现金及现金等价物余额||808,449,254.44|392,415,220.93
