page|61
项目|附注七|2020 年度|2019 年度
一、营业总收入||600,653,195.43|693,024,754.83
其中：营业收入|61|600,653,195.43|693,024,754.83
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||410,982,793.22|483,540,698.65
其中：营业成本|61|358,938,926.33|410,419,825.67
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|1,497,835.48|1,311,004.52
page|62
销售费用|63|9,290,648.97|14,103,918.96
管理费用|64|24,712,662.35|29,715,871.43
研发费用|65|20,736,243.75|27,593,035.64
财务费用|66|-4,193,523.66|397,042.43
其中：利息费用||2,441,973.08|2,915,510.26
利息收入||2,110,531.04|1,301,233.13
加：其他收益|67|239,260.52|61,595.38
投资收益（损失以“－”号填列）|68|317,939.20|275,139.90
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-68,430,010.36|-46,065,520.17
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||121,797,591.57|163,755,271.29
加：营业外收入|74|3,516,655.97|5,541,518.89
减：营业外支出|75|49,047.24|116,014.09
四、利润总额（亏损总额以“－”号填列）||125,265,200.30|169,180,776.09
减：所得税费用|76|16,830,279.15|23,350,501.83
五、净利润（净亏损以“－”号填列）||108,434,921.15|145,830,274.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||108,434,921.15|145,830,274.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||107,929,889.94|145,240,006.67
2.少数股东损益（净亏损以“-”号填列）||505,031.21|590,267.59
六、其他综合收益的税后净额||-1,114,774.32|596,101.03
（一）归属母公司所有者的其他综合收益的税后净额||-1,114,774.32|596,101.03
1．不能重分类进损益的其他综合收益||-1,114,774.32|596,101.03
（1）重新计量设定受益计划变动额|||
page|63
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-1,114,774.32|596,101.03
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||107,320,146.83|146,426,375.29
（一）归属于母公司所有者的综合收益总额||106,815,115.62|145,836,107.70
（二）归属于少数股东的综合收益总额||505,031.21|590,267.59
八、每股收益：|||
（一）基本每股收益(元/股)||1.66|2.23
（二）稀释每股收益(元/股)||1.66|2.23
