page|88
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||797,761,226.04|603,646,841.94
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||31,663,850.83|15,837,460.46
收到其他与经营活动有关的现金||74,436,185.44|39,137,641.85
经营活动现金流入小计||903,861,262.31|658,621,944.25
购买商品、接受劳务支付的现金||445,868,499.32|352,131,487.21
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||180,899,265.56|121,804,785.36
支付的各项税费||136,952,800.10|89,002,550.87
支付其他与经营活动有关的现金||73,231,374.47|87,882,038.21
经营活动现金流出小计||836,951,939.45|650,820,861.65
经营活动产生的现金流量净额||66,909,322.86|7,801,082.60
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,222,000,000.00|1,611,400,000.00
取得投资收益收到的现金||15,432,617.24|18,408,109.38
处置固定资产、无形资产和其他长期资产收回的现金净额||451,100.00|464,500.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
page|89
投资活动现金流入小计||1,237,883,717.24|1,630,272,609.38
购建固定资产、无形资产和其他长期资产支付的现金||254,753,260.92|90,582,276.54
投资支付的现金||1,002,000,000.00|1,519,400,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,256,753,260.92|1,609,982,276.54
投资活动产生的现金流量净额||-18,869,543.68|20,290,332.84
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||15,108,000.00|20,080,196.00
其中：子公司吸收少数股东投资收到的现金||15,108,000.00|
取得借款收到的现金||158,671,111.12|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||173,779,111.12|20,080,196.00
偿还债务支付的现金||110,000,000.00|
分配股利、利润或偿付利息支付的现金||26,430,090.66|45,389,499.54
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,468,600.00|
筹资活动现金流出小计||137,898,690.66|45,389,499.54
筹资活动产生的现金流量净额||35,880,420.46|-25,309,303.54
四、汇率变动对现金及现金等价物的影响||-640,311.70|196,669.67
五、现金及现金等价物净增加额||83,279,887.94|2,978,781.57
加：期初现金及现金等价物余额||243,505,674.23|240,526,892.66
六、期末现金及现金等价物余额||326,785,562.17|243,505,674.23
