page|80
项目 附注 2021年度 2020年度|||
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||16,250,674,078.39|17,751,860,537.70
收到的税费返还|||
收取利息、手续费及佣金的现金||4,818,317.89|12,199,081.96
收到其他与经营活动有关的现金||297,345,859.85|711,497,266.30
经营活动现金流入小计||16,552,838,256.13|18,475,556,885.96
购买商品、接受劳务支付的现金||15,241,695,389.12|17,288,344,835.49
客户贷款及垫款净增加额||46,619,637.57|-76,189,780.73
支付给职工及为职工支付的现金||203,930,524.70|216,161,916.35
支付的各项税费||103,836,298.23|125,950,828.10
支付其他与经营活动有关的现金||456,763,287.02|873,149,798.26
经营活动现金流出小计||16,052,845,136.64|18,427,417,597.47
经营活动产生的现金流量净额||499,993,119.49|48,139,288.49
二、投资活动产生的现金流量：|||
收回投资收到的现金||42,603,707,735.42|71,503,846,188.28
取得投资收益收到的现金||300,547,553.53|633,797,480.86
处置固定资产、无形资产和其他长期资产收回||312,625.72|2,995,346.31
page|81
的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||13,082,165.63|30,837,179.16
投资活动现金流入小计||42,917,650,080.30|72,171,476,194.61
购建固定资产、无形资产和其他长期资产支付的现金||97,225,393.11|204,331,077.03
投资支付的现金||40,258,782,211.28|70,937,848,924.67
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||248,010,727.73|298,687,995.09
投资活动现金流出小计||40,604,018,332.12|71,440,867,996.79
投资活动产生的现金流量净额||2,313,631,748.18|730,608,197.82
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||9,000,000.00
其中：子公司吸收少数股东投资收到的现金|||9,000,000.00
取得借款收到的现金||9,361,806,644.40|12,081,850,720.00
发行债券收到的现金|||990,000,000.00
收到其他与筹资活动有关的现金||665,561,242.61|1,430,520,682.86
筹资活动现金流入小计||10,027,367,887.01|14,511,371,402.86
偿还债务支付的现金||11,273,101,382.12|11,578,492,443.85
分配股利、利润或偿付利息支付的现金||1,198,708,601.65|1,324,365,150.32
其中：子公司支付给少数股东的股利、利润||2,990,000.00|39,518,312.48
支付其他与筹资活动有关的现金||1,010,177,327.84|1,708,639,093.05
筹资活动现金流出小计||13,481,987,311.61|14,611,496,687.22
筹资活动产生的现金流量净额||-3,454,619,424.60|-100,125,284.36
四、汇率变动对现金及现金等价物的影响||-247,013.52|-575,870.90
五、现金及现金等价物净增加额||-641,241,570.45|678,046,331.05
加：期初现金及现金等价物余额||4,204,052,064.14|3,526,005,733.09
六、期末现金及现金等价物余额||3,562,810,493.69|4,204,052,064.14
