page|87
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,151,397,209.04|6,694,887,527.15
page|88
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||98,208,857.71|68,791,132.19
收到其他与经营活动有关的现金||327,642,501.47|390,852,376.63
经营活动现金流入小计||8,577,248,568.22|7,154,531,035.97
购买商品、接受劳务支付的现金||6,002,199,299.74|4,840,245,909.09
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,108,870,831.89|968,427,470.15
支付的各项税费||337,313,064.48|284,794,029.35
支付其他与经营活动有关的现金||446,914,612.59|455,881,745.47
经营活动现金流出小计||7,895,297,808.70|6,549,349,154.06
经营活动产生的现金流量净额||681,950,759.52|605,181,881.91
二、投资活动产生的现金流量：|||
收回投资收到的现金||125,751,062.61|
取得投资收益收到的现金||18,202,787.67|43,618,581.00
处置固定资产、无形资产和其他长期资产收回的现金净额||27,073,768.39|1,014,356.00
处置子公司及其他营业单位收到的现金净额|||54,878,055.91
收到其他与投资活动有关的现金|||
投资活动现金流入小计||171,027,618.67|99,510,992.91
购建固定资产、无形资产和其||315,107,051.13|367,817,815.99
page|89
他长期资产支付的现金|||
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||14,377,000.00|7,000,000.00
支付其他与投资活动有关的现金||55,195,976.61|3,954,804.18
投资活动现金流出小计||384,680,027.74|378,772,620.17
投资活动产生的现金流量净额||-213,652,409.07|-279,261,627.26
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||10,188,786.37
其中：子公司吸收少数股东投资收到的现金|||10,188,786.37
取得借款收到的现金||4,378,994,000.85|10,982,906,340.90
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||4,378,994,000.85|10,993,095,127.27
偿还债务支付的现金||4,620,389,340.68|12,326,059,634.66
分配股利、利润或偿付利息支付的现金||236,245,253.90|294,229,613.80
其中：子公司支付给少数股东的股利、利润||13,387,212.76|10,622,944.06
支付其他与筹资活动有关的现金||26,955,874.53|30,878,865.75
筹资活动现金流出小计||4,883,590,469.11|12,651,168,114.21
筹资活动产生的现金流量净额||-504,596,468.26|-1,658,072,986.94
四、汇率变动对现金及现金等价物的影响||-3,984,834.50|-946,215.55
五、现金及现金等价物净增加额||-40,282,952.31|-1,333,098,947.84
加：期初现金及现金等价物余额||2,123,452,571.41|3,456,551,519.25
六、期末现金及现金等价物余额||2,083,169,619.10|2,123,452,571.41
